_id,MSC,ZAWODNIK,KLUB,SREDNIA,%POJ,PKT,BON,BIEGI,SST,SDY,DYSTBILANS,P3,P2,P1,P0,D,W,U,T,PROCZW,STARTPLUS,STARTMINUS,DYSTPLUS,DYSTMINUS,STARTBILANS,TORA,TORB,TORC,TORD,DOM,WYJAZD,mecze,id,SGP 1997 status,numer SGP 1997,wychowanek
66f074d494e23727cab05ab8,36,Tomasz Gapiński,Łódź,1.423728813559322,0.423728813559322,75,9,59,0.37254901960784315,0.078125,5,9,17,14,19,0,2,0,1,0.15254237288135594,38,64,17,12,-26,1.6923076923076923,1.411764705882353,1.5625,1,1.5,1.3333333333333333,14,82,,,
66f074d494e23727cab05ab9,37,Krystian Pieszczek,Rzeszów,1.4035087719298245,0.39473684210526316,71,9,57,0.4339622641509434,-0.06521739130434782,-3,12,11,13,21,0,2,1,1,0.21052631578947367,46,60,14,17,-14,1.8461538461538463,1.2666666666666666,1.0588235294117647,1.5833333333333333,1.5,1.2962962962962963,14,707,,,
66f074d494e23727cab05aba,38,Daniel Kaczmarek,Łódź,1.3793103448275863,0.42735042735042733,72,8,58,0.49038461538461536,-0.13725490196078433,-7,9,13,19,17,1,1,0,0,0.15517241379310345,51,53,7,14,-2,1.6428571428571428,1.5384615384615385,1,1.375,1.5384615384615385,1.25,14,1333,,,
66f074d494e23727cab05abb,39,Benjamin Basso,Łódź,1.338235294117647,0.39705882352941174,83,8,68,0.4112903225806452,-0.058823529411764705,-3,13,12,20,23,0,1,0,0,0.19117647058823528,51,73,12,15,-22,1.375,1.1666666666666667,1.7777777777777777,1,1.3714285714285714,1.303030303030303,16,3642,,,
66f074d494e23727cab05abc,40,Norick Bloedorn,Rybnik,1.2988505747126438,0.39080459770114945,100,13,87,0.48125,-0.2077922077922078,-16,8,21,34,24,3,0,0,0,0.09195402298850575,77,83,8,24,-6,1.4,1.3,1.4090909090909092,1.12,1.2790697674418605,1.3181818181818181,20,3572,,,
66f074d494e23727cab05abd,41,Maksym Borowiak,Rybnik,1.2391304347826086,0.4065934065934066,47,10,46,0.4074074074074074,-0.12121212121212122,-4,7,8,10,21,0,1,1,0,0.15217391304347827,33,48,1,5,-15,1.6666666666666667,0.7,0.9166666666666666,1.5833333333333333,1.3478260869565217,1.1304347826086956,17,3611,,,Unia Leszno
66f074d494e23727cab05abe,42,Piotr Świercz,Krosno,1.2363636363636363,0.37272727272727274,58,10,55,0.44554455445544555,-0.2222222222222222,-10,8,8,18,21,0,3,0,0,0.14545454545454545,45,56,5,15,-11,1.3333333333333333,1.3529411764705883,0.7857142857142857,1.5,1.25,1.2222222222222223,16,3564,,,Unia Tarnów
66f074d494e23727cab05abf,43,Paweł Trześniewski,Rybnik,1.2083333333333333,0.3854166666666667,56,2,48,0.4367816091954023,-0.18421052631578946,-7,7,10,15,16,0,0,0,0,0.14583333333333334,38,49,4,11,-11,1.2142857142857142,1.3333333333333333,1,1.2307692307692308,1.2727272727272727,1.1538461538461537,18,3589,,,ROW Rybnik
66f074d494e23727cab05ac0,44,Wiktor Jasiński,Ostrów,1.1857142857142857,0.36231884057971014,69,14,70,0.4634146341463415,-0.19298245614035087,-11,9,11,20,30,1,7,0,0,0.12857142857142856,57,66,8,19,-9,1.2666666666666666,1.4444444444444444,0.5833333333333334,1.24,1.3142857142857143,1.0571428571428572,18,299,,,
66f074d494e23727cab05ac1,45,Olivier Buszkiewicz,Bydgoszcz,1.183673469387755,0.3917525773195876,50,8,49,0.32967032967032966,0.06557377049180328,4,5,8,19,17,1,3,1,0,0.10204081632653061,30,61,17,13,-31,1.0833333333333333,1.2857142857142858,0.7692307692307693,1.5294117647058822,1.3333333333333333,1.04,15,3591,,,Unia Leszno
