_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD,mecze,SST,SDY,STARTPLUS,STARTMINUS,STARTBILANS,DYSTPLUS,DYSTMINUS,DYSTBILANS,D-W,%POJ,Column35,Column36,id,ELO
641cb405e7de334dde16fd43,34,David Bellego,Leszno,1.487,94,19,76,13,16,23,24,1,0,0,0,0.171052632,1.514,1.462,1.824,1.143,1.526,1.526,16,0.456953642,-0.072463768,69,82,-13,12,17,-5,0.051975052,0.421052632,,0.486842105,1415,
641cb405e7de334dde16fd44,35,Oliver Berntzon,Ostrów,1.469,85,9,64,10,17,21,16,0,3,0,0,0.15625,1.441,1.5,1.389,1.5,1.429,1.556,13,0.450819672,-0.090909091,55,67,-12,11,16,-5,-0.058823529,0.390625,,0.40625,93,
641cb405e7de334dde16fd45,36,Mateusz Świdnicki,Częstochowa,1.462,90,24,78,10,18,24,26,1,0,2,0,0.128205128,1.721,1.143,1.583,1.462,1.481,1.385,20,0.487012987,-0.026666667,75,79,-4,15,17,-2,0.57807309,0.474358974,,0.461538462,3264,1047
641cb405e7de334dde16fd46,37,Bartłomiej Kowalski,Wrocław,1.459,79,10,61,13,11,18,19,1,3,0,0,0.213114754,1.5,1.429,1.8,1.471,1.357,1.2,16,0.473684211,-0.018518519,54,60,-6,11,12,-1,0.071428571,0.442622951,,0.524590164,3430,962
641cb405e7de334dde16fd47,38,Gleb Chugunov,Wrocław,1.457,104,14,81,16,16,24,25,0,1,0,0,0.197530864,1.723,1.088,1.136,1.278,1.917,1.412,15,0.49044586,-0.064935065,77,80,-3,19,24,-5,0.635168961,0.462962963,,0.50617284,3247,1189
641cb405e7de334dde16fd48,39,Tomasz Gapiński,Ostrów,1.267,70,6,60,8,16,14,22,0,0,0,0,0.133333333,1.455,1.037,1.857,1.286,1.118,0.867,14,0.322033898,0.0,38,80,-42,13,13,0,0.417508418,0.325,,0.5,82,
641cb405e7de334dde16fd49,40,Kacper Pludra,Grudziądz,1.193,56,12,57,6,10,18,23,0,2,2,0,0.105263158,1.556,0.867,1.625,1.556,0.727,0.5,14,0.358490566,-0.052631579,38,68,-30,8,10,-2,0.688888889,0.324561404,,0.50877193,3474,895
641cb405e7de334dde16fd4a,41,Damian Ratajczak,Leszno,1.133,47,4,45,7,8,10,20,0,0,0,0,0.155555556,1.292,0.952,2,0.583,1.083,0.778,13,0.280898876,0.0625,25,64,-39,9,5,4,0.339285714,0.333333333,,0.6,3563,1016
641cb405e7de334dde16fd4b,42,Patrick Hansen,Gorzów,1.071,79,11,84,5,21,22,36,0,2,0,0,0.05952381,0.895,1.217,1.294,0.955,0.87,1.227,20,0.367088608,-0.155172414,58,100,-42,7,16,-9,-0.322654462,0.337278107,,0.488095238,3279,
641cb405e7de334dde16fd4c,43,Matias Nielsen,Ostrów,1.0,28,1,29,0,9,10,10,0,0,0,0,0.0,1.056,0.909,0.857,0.875,0.833,1.375,7,0.280701754,-0.1875,16,41,-25,5,8,-3,0.146464646,0.24137931,,0.344827586,3536,
641cb405e7de334dde16fd4d,44,Krzysztof Lewandowski,Toruń,0.966,50,7,59,8,5,16,30,0,1,0,0,0.13559322,1.188,0.704,1.368,1.188,0.375,0.75,18,0.353448276,-0.195121951,41,75,-34,5,13,-8,0.483796296,0.288135593,,0.644067797,3561,877
641cb405e7de334dde16fd4e,45,Jakub Krawczyk,Ostrów,0.911,39,2,45,6,9,3,27,2,2,1,0,0.133333333,0.833,1,1.176,0.5,1.5,0.583,12,0.265060241,-0.136363636,22,61,-39,1,4,-3,-0.166666667,0.258426966,,0.733333333,3526,
641cb405e7de334dde16fd4f,46,Mateusz Bartkowiak,Gorzów,0.814,30,5,43,2,6,12,23,0,0,1,0,0.046511628,0.955,0.667,1.083,0.929,0.455,0.667,15,0.24691358,-0.3,20,61,-41,1,7,-6,0.287878788,0.209302326,,0.581395349,1008,824
641cb405e7de334dde16fd50,47,Hubert Jabłoński,Leszno,0.788,23,3,33,4,2,7,20,0,1,0,0,0.121212121,1,0.632,0.714,1.273,0.571,0.375,12,0.265625,-0.058823529,17,47,-30,5,6,-1,0.368421053,0.242424242,,0.727272727,3612,
641cb405e7de334dde16fd51,48,Denis Zieliński,Toruń,0.705,26,5,44,1,6,11,26,0,0,0,0,0.022727273,1,0.435,0,0.846,0.714,0.769,18,0.284090909,-0.2,25,63,-38,3,8,-5,0.565217391,0.227272727,,0.613636364,3476,808
641cb405e7de334dde16fd52,49,Michał Curzytek,Wrocław,0.605,19,7,43,1,2,12,28,2,1,1,0,0.023255814,0.739,0.45,1.2,0.538,0.429,0.636,16,0.308641975,-0.36,25,56,-31,6,15,-9,0.289130435,0.209302326,,0.674418605,3460,856
641cb405e7de334dde16fd53,50,Mateusz Tudzież,Lublin,1.5,3,0,2,1,0,0,1,0,0,0,0,0.5,1.5,,0,,,3,1,0.5,0.0,2,2,0,0,0,0,,0.5,,1,909,
641cb405e7de334dde16fd54,51,Jonas Jeppesen,Częstochowa,1.359,38,15,39,1,6,23,9,0,1,0,0,0.025641026,1.312,1.391,1,1.8,1.3,1.333,15,0.283783784,0.113207547,21,53,-32,9,3,6,-0.078804348,0.384615385,,,3496,1043
641cb405e7de334dde16fd55,52,Oskar Paluch,Gorzów,1.057,35,2,35,5,6,8,16,0,2,0,0,0.142857143,1.222,0.882,0.833,1.5,1.667,0.556,11,0.323076923,-0.142857143,21,44,-23,2,5,-3,0.339869281,0.3,,,3648,
641cb405e7de334dde16fd56,54,Nicolai Klindt,Ostrów,0.8,4,0,5,0,1,2,2,0,0,0,0,0.0,,0.8,0,0.5,1.5,,1,0.2,-0.5,2,8,-6,0,1,-1,,0.1,,,1129,1054
641cb405e7de334dde16fd57,53,Wiktor Jasiński,Gorzów,1.056,28,10,36,2,3,16,15,0,3,0,0,0.055555556,1.143,0.933,1.75,1,0.778,0.75,12,0.253968254,0.085106383,16,47,-31,7,3,4,0.20952381,0.319444444,,,299,874
641cb405e7de334dde16fd58,55,Kacper Łobodziński,Grudziądz,0.778,17,4,27,2,3,5,17,0,0,0,0,0.074074074,0.929,0.615,0.333,0,0.5,1.667,10,0.301886792,-0.1875,16,37,-21,3,6,-3,0.313186813,0.259259259,,,3537,893
641cb405e7de334dde16fd59,56,Tim Sorensen,Ostrów,0.722,9,4,18,0,0,9,9,0,2,0,0,0.0,0.778,0.667,1,0.833,0.75,0,7,0.258064516,-0.125,8,23,-15,5,6,-1,0.111111111,0.222222222,,,3499,
641cb405e7de334dde16fd5a,57,Sebastian Szostak,Ostrów,0.667,15,1,24,1,3,6,14,1,0,0,1,0.041666667,0.364,0.923,0.714,0,0.75,1.667,9,0.25,-0.363636364,11,33,-22,1,5,-4,-0.559440559,0.195652174,,,355,
641cb405e7de334dde16fd5b,58,Fraser Bowes,Lublin,0.667,1,1,3,0,0,1,2,0,0,0,0,0.0,0,2,1,,0,,2,0.166666667,0.0,1,5,-4,0,0,0,-2,0.166666667,,,3585,
641cb405e7de334dde16fd5c,59,Keynan Rew,Leszno,0.6,2,1,5,0,0,2,3,0,0,0,0,0.0,1,0.5,0,1,0,2,3,0.3,-0.333333333,3,7,-4,0,1,-1,0.5,0.2,,,3478,
641cb405e7de334dde16fd5d,60,Jakub Poczta,Ostrów,0.583,5,2,12,0,1,3,8,0,0,0,0,0.0,0,0.636,1,0,0.667,0.667,5,0.291666667,-0.571428571,7,17,-10,0,4,-4,-0.636363636,0.125,,,3524,
641cb405e7de334dde16fd5e,61,Emil Breum Ankersen,Grudziądz,0.5,2,0,4,0,0,2,2,0,0,0,0,0.0,,0.5,0,,0,1,1,0.25,-0.5,2,6,-4,1,2,-1,,0.125,,,3605,
641cb405e7de334dde16fd5f,62,Filip Hjelmland,Ostrów,0.444,4,0,9,0,1,2,6,0,0,0,0,0.0,,0.444,1,1,0,0,3,0.333333333,-0.666666667,6,12,-6,1,5,-4,,0.111111111,,,3233,
641cb405e7de334dde16fd60,63,Maksym Borowiak,Leszno,0.4,2,0,5,0,1,0,4,0,1,0,0,0.0,0,0.667,,0,2,0,2,0.25,-0.5,2,6,-4,0,1,-1,-0.666666667,0.1,,,3611,
641cb405e7de334dde16fd61,64,Mateusz Affelt,Toruń,0.385,3,2,13,0,0,3,10,0,0,0,0,0.0,0.667,0.143,1,0,1.5,0,7,0.038461538,0.04,1,25,-24,1,0,1,0.523809524,0.076923077,,,3621,
641cb405e7de334dde16fd62,65,Oskar Hurysz,Gorzów,0.294,4,1,17,0,1,2,14,0,0,0,0,0.0,0.556,0,1,0,0,0.667,6,0.088235294,-0.333333333,3,31,-28,0,1,-1,0.555555556,0.117647059,,,3601,
641cb405e7de334dde16fd63,66,Antoni Mencel,Leszno,0.222,4,0,18,0,0,4,14,0,0,0,0,0.0,0.2,0.25,0,0.333,0.5,0,8,0.085714286,-0.333333333,3,32,-29,0,1,-1,-0.05,0.083333333,,,3615,
641cb405e7de334dde16fd64,67,Kacper Grzelak,Ostrów,0.214,3,0,14,0,0,3,11,0,0,0,0,0.0,0.25,0.167,0,0,0.2,0.4,5,0.071428571,-1.0,2,26,-24,0,2,-2,0.083333333,0.0,,,3523,
641cb405e7de334dde16fd65,68,Oliwier Ralcewicz,Gorzów,0.2,1,0,5,0,0,1,4,0,0,0,0,0.0,0,0.333,0,0,0.5,0,2,0.0,0.0,0,9,-9,0,0,0,-0.333333333,0.1,,,3590,975
641cb405e7de334dde16fd66,70,Jakub Stojanowski,Gorzów,0.111,2,0,18,0,0,2,16,1,1,1,0,0.0,0,0.222,0,0,0.167,0.167,6,0.03030303,0.0,1,32,-31,0,0,0,-0.222222222,0.055555556,,,3538,
641cb405e7de334dde16fd67,71,Wiktor Rafalski,Grudziądz,0.111,1,0,9,0,0,1,8,0,0,0,0,0.0,0,0.25,,0,0,0.25,4,0.055555556,-1.0,1,17,-16,1,2,-1,-0.25,0.055555556,,,3608,
641cb405e7de334dde16fd68,72,Mateusz Panicz,Wrocław,0.0,0,0,1,0,0,0,1,0,0,0,0,0.0,,0,,0,,,1,0.0,0.0,0,2,-2,0,0,0,,0.0,,,3509,973
641cb405e7de334dde16fd69,69,Karol Żupiński,Toruń,0.143,1,0,7,0,0,1,6,0,1,0,0,0.0,0.25,0,0,0,0,0.5,3,0.0,0.0,0,12,-12,1,1,0,0.25,0.0,,,3454,791
