_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD,KLASYFIKOWANY?,mecze,SST,SDY,STARTPLUS,STARTMINUS,STARTBILANS,DYSTPLUS,DYSTMINUS,DYSTBILANS,D-W,%POJ,srednia 2022,roznica 23-22,empty_AK,empty_AL,empty_AM,empty_AN,empty_AO,empty_AP,empty_AQ,id
661d8faa3fbc5e0ca141114f,38,Kacper Pludra,Grudziądz,1.393,66,12,56,8,12,18,18,0,3,1,1,0.142857142857143,1.48148148148148,1.31034482758621,1.6875,1.41176470588235,1.11111111111111,1.21428571428571,1,14,0.398058252427184,0.0806451612903226,41,62,-21,8,3,5,0.171136653895275,0.419642857142857,1.193,0.2,0.464285714285714,,,,,,1.457,3474
661d8faa3fbc5e0ca1411150,39,Oskar Paluch,Gorzów,1.365,65,6,52,11,10,12,19,2,5,0,1,0.211538461538462,1.52,1.22222222222222,1.16666666666667,0.777777777777778,1.875,1.33333333333333,1,16,0.48780487804878,-0.05,40,42,-2,2,4,-2,0.297777777777778,0.428571428571429,,,0.576923076923077,,,,,,1.267,3648
661d8faa3fbc5e0ca1411151,40,Wiktor Lampart,Toruń,1.351,85,15,74,7,17,30,20,0,1,0,0,0.0945945945945946,1.325,1.38235294117647,1.35,1.3125,1.31578947368421,1.42105263157895,1,18,0.416666666666667,-0.05,60,84,-24,13,16,-3,-0.0573529411764706,0.405405405405405,1.526,-0.175,0.364864864864865,,,,,,1.193,3275
661d8faa3fbc5e0ca1411152,41,Frederik Jakobsen,Grudziądz,1.283,68,9,60,8,12,20,20,1,0,0,1,0.133333333333333,1.45161290322581,1.10344827586207,0.866666666666667,1.61538461538462,1.5,1.14285714285714,1,14,0.393162393162393,-0.0652173913043478,46,71,-25,7,10,-3,0.348164627363738,0.369747899159664,1.616,-0.333,0.466666666666667,,,,,,1.133,41
661d8faa3fbc5e0ca1411153,42,Damian Ratajczak,Leszno,1.182,71,7,66,11,13,12,30,0,1,0,0,0.166666666666667,1.27272727272727,1.09090909090909,1.63636363636364,1.15789473684211,0.769230769230769,0.833333333333333,1,16,0.330769230769231,-0.0232558139534884,43,87,-44,7,8,-1,0.181818181818182,0.348484848484849,1.133,0.0489999999999999,0.621212121212121,,,,,,1.071,3563
661d8faa3fbc5e0ca1411154,43,Krzysztof Sadurski,Krosno,1.12,46,10,50,3,10,17,20,1,0,0,1,0.06,1.46666666666667,0.6,0.875,1,1.25,1.41666666666667,1,14,0.368421052631579,-0.228571428571429,35,60,-25,2,10,-8,0.866666666666667,0.31,,,,,,,,,1,759
661d8faa3fbc5e0ca1411155,44,Wiktor Jasiński,Gorzów,1.104,44,9,48,3,7,21,17,1,1,0,0,0.0625,1.22222222222222,0.952380952380952,1.4,1.25,0.692307692307692,1.15384615384615,1,15,0.306818181818182,0,27,61,-34,7,7,0,0.26984126984127,0.34375,,,,,,,,,0.966,299
661d8faa3fbc5e0ca1411156,45,Kacper Łobodziński,Grudziądz,1.0,23,6,29,3,4,6,16,0,0,0,0,0.103448275862069,1.4375,0.461538461538462,1.5,1,0.4,1.57142857142857,1,12,0.280701754385965,0.0487804878048781,16,41,-25,4,2,2,0.975961538461538,0.310344827586207,,,,,,,,,0.911,3537
661d8faa3fbc5e0ca1411157,46,Bartosz Bańbor,Lublin,0.951,33,6,41,3,7,10,21,1,1,0,0,0.0731707317073171,0.722222222222222,1.1304347826087,1,1,0.818181818181818,1,1,15,0.41025641025641,-0.15625,32,46,-14,5,10,-5,-0.408212560386473,0.329268292682927,,,,,,,,,0.814,3659
661d8faa3fbc5e0ca1411158,47,Denis Zieliński,Krosno,0.95,31,7,40,1,9,10,20,0,0,0,0,0.025,1.18181818181818,0.666666666666667,1.25,1,0.692307692307692,0.833333333333333,1,13,0.316455696202532,-0.24,25,54,-29,1,7,-6,0.515151515151515,0.2625,0.705,0.245,,,,,,,0.788,3476
