Drużyna gospodarzy,Drużyna gości,Tor,Data,Kolejka,Punkty gospodarzy,Punkty gości,Zestaw pól startowych,Zawodnik1,Zawodnik2,Zawodnik3,Zawodnik4,Zawodnik5,Zawodnik6,Zawodnik7,Zawodnik8,Zawodnik9,Zawodnik10,Zawodnik11,Zawodnik12,Zawodnik13,Zawodnik14,Zawodnik15,Zawodnik16,Zawodnik1_punkty,Zawodnik2_punkty,Zawodnik3_punkty,Zawodnik4_punkty,Zawodnik5_punkty,Zawodnik6_punkty,Zawodnik7_punkty,Zawodnik8_punkty,Zawodnik9_punkty,Zawodnik10_punkty,Zawodnik11_punkty,Zawodnik12_punkty,Zawodnik13_punkty,Zawodnik14_punkty,Zawodnik15_punkty,Zawodnik16_punkty,Plik PDF,Sezon
CZĘSTOCHOWA,GRUDZIĄDZ,Częstochowa,"31.08.2018,",14,45,45,1,Lindbaeck Antonio,Huckenbeck Kai,Pawlicki Przemysław,Buczkowski Krzysztof,Laguta Artem,Wieczorek Kamil,Wawrzyniak Dawid,Pieszczek Krystian,Madsen Leon,Musielak Tobiasz,Miedziński Adrian,Lindgren Fredrik,Zagar Matej,Świącik Bartosz,Gruchalski Michał,Lyager Andreas,10.0,6.0,9,5,14.0,1,0.0,,12,0.0,6.0,9,8,3,6,1.0,1057.pdf,2018
CZĘSTOCHOWA,GORZÓW,Częstochowa,"02.09.2018,",15,41,49,1,Vaculik Martin,Walasek Grzegorz,Kasprzak Krzysztof,Woźniak Szymon,Zmarzlik Bartosz,Karczmarz Rafał,Szczotka Alan,Czerniawski Hubert,Madsen Leon,Musielak Tobiasz,Miedziński Adrian,Lindgren Fredrik,Zagar Matej,Świącik Bartosz,Gruchalski Michał,Lyager Andreas,15.0,1.0,10,6,11.0,5,1.0,,11,4.0,5.0,6,3,1,11,0.0,1058.pdf,2018
WROCŁAW,LESZNO,Wrocław,"02.09.2018,",15,42,48,1,Sayfutdinov Emil,Hampel Jarosław,Kurtz Brady,Kołodziej Janusz,Pawlicki Piotr,Smektała Bartosz,Kubera Dominik,Lidsey Jaimon,Woffinden Tai,Fricke Max,Janowski Maciej,Dróżdż Damian,Milik Vaclav,Liszka Przemysław,Drabik Maksym,Wojdyło Patryk,11.0,4.0,3,13,8.0,8,1.0,,9,9.0,9.0,2,3,0,10,0.0,1059.pdf,2018
GORZÓW,CZĘSTOCHOWA,Gorzów,"09.09.2018,",16,51,39,1,Madsen Leon,Musielak Tobiasz,Miedziński Adrian,Lyager Andreas,Lindgren Fredrik,Gruchalski Michał,Świącik Bartosz,,Kasprzak Krzysztof,Sundstroem Linus,Vaculik Martin,Woźniak Szymon,Zmarzlik Bartosz,Szczotka Alan,Karczmarz Rafał,Czerniawski Hubert,14.0,2.0,11,3,5.0,4,0.0,,11,3.0,9.0,9,12,2,5,,1060.pdf,2018
LESZNO,WROCŁAW,Leszno,"09.09.2018,",16,48,42,1,Woffinden Tai,Dróżdż Damian,Janowski Maciej,Milik Vaclav,Fricke Max,Drabik Maksym,Liszka Przemysław,Chugunov Gleb,Sayfutdinov Emil,Kurtz Brady,Hampel Jarosław,Kołodziej Janusz,Pawlicki Piotr,Smektała Bartosz,Kubera Dominik,,8.0,,15,1,7.0,7,0.0,4.0,10,5.0,8.0,4,10,8,3,,1061.pdf,2018
WROCŁAW,CZĘSTOCHOWA,Wrocław,"16.09.2018,",17,51,39,2,Madsen Leon,Musielak Tobiasz,Miedziński Adrian,Zagar Matej,Lindgren Fredrik,Gruchalski Michał,Świącik Bartosz,Lyager Andreas,Woffinden Tai,Dróżdż Damian,Janowski Maciej,Milik Vaclav,Fricke Max,Drabik Maksym,Wojdyło Patryk,Chugunov Gleb,14.0,2.0,3,8,9.0,2,1.0,,11,,10.0,1,8,14,3,4.0,1062.pdf,2018
GORZÓW,LESZNO,Gorzów,"16.09.2018,",17,46,44,1,Sayfutdinov Emil,Kurtz Brady,Hampel Jarosław,Kołodziej Janusz,Pawlicki Piotr,Smektała Bartosz,Kubera Dominik,Lidsey Jaimon,Kasprzak Krzysztof,Walasek Grzegorz,Vaculik Martin,Woźniak Szymon,Zmarzlik Bartosz,Czerniawski Hubert,Karczmarz Rafał,Szczotka Alan,10.0,4.0,7,0,13.0,4,6.0,,8,5.0,9.0,7,13,1,3,0.0,1063.pdf,2018
CZĘSTOCHOWA,WROCŁAW,Częstochowa,"23.09.2018,",18,49,41,2,Woffinden Tai,Dróżdż Damian,Janowski Maciej,Milik Vaclav,Fricke Max,Drabik Maksym,Wojdyło Patryk,Chugunov Gleb,Madsen Leon,Musielak Tobiasz,Lindgren Fredrik,Miedziński Adrian,Zagar Matej,Świącik Bartosz,Gruchalski Michał,Lyager Andreas,10.0,,11,7,7.0,5,1.0,0.0,14,4.0,9.0,6,9,0,7,,1065.pdf,2018
LESZNO,GORZÓW,Leszno,"29.09.2018,",18,50,40,1,Vaculik Martin,Walasek Grzegorz,Kasprzak Krzysztof,Woźniak Szymon,Zmarzlik Bartosz,Karczmarz Rafał,Szczotka Alan,,Sayfutdinov Emil,Kurtz Brady,Hampel Jarosław,Kołodziej Janusz,Pawlicki Piotr,Smektała Bartosz,Kubera Dominik,Szlauderbach Szymon,7.0,1.0,10,4,15.0,3,0.0,,10,5.0,11.0,11,2,9,2,,1066.pdf,2018
TARNÓW,ZIELONA,Tarnów,"08.04.2018,",1,47,43,1,Jepsen Jensen Michael,Gomólski Kacper,Dudek Patryk,Zengota Grzegorz,Protasiewicz Piotr,Zgardziński Alex,Niedźwiedź Sebastian,Tonder Mateusz,Pedersen Nicki,Mroczka Artur,Kildemand Peter,Jamróg Jakub,Bjerre Kenneth,Konieczny Kacper,Rolnicki Patryk,Kulakov Viktor,10.0,3.0,7,10,6.0,4,3.0,,13,2.0,8.0,8,12,0,4,,292.pdf,2018
WROCŁAW,LESZNO,Wrocław,"07.04.2018,",1,45,45,2,Hampel Jarosław,Picz Tymoteusz,Kurtz Brady,Kołodziej Janusz,Sayfutdinov Emil,Kubera Dominik,Smektała Bartosz,,Woffinden Tai,Dróżdż Damian,Janowski Maciej,Lebedevs Andzejs,Milik Vaclav,Drabik Maksym,Wojdyło Patryk,Fricke Max,12.0,,3,11,7.0,6,6.0,,11,,12.0,0,11,6,1,4.0,293.pdf,2018
GRUDZIĄDZ,CZĘSTOCHOWA,Grudziądz,"08.04.2018,",1,45,45,2,Madsen Leon,Musielak Tobiasz,Miedziński Adrian,Lindgren Fredrik,Zagar Matej,Gruchalski Michał,Świdnicki Mateusz,Lyager Andreas,Lindbaeck Antonio,Huckenbeck Kai,Buczkowski Krzysztof,Pawlicki Przemysław,Laguta Artem,Wawrzyniak Dawid,Wieczorek Kamil,Pieszczek Krystian,15.0,1.0,1,18,8.0,2,0.0,,6,,7.0,9,10,2,5,6.0,295.pdf,2018
GORZÓW,TORUŃ,Gorzów,"08.04.2018,",1,54,35,2,Doyle Jason,Przedpełski Paweł,Iversen Niels Kristian,Walasek Grzegorz,Holta Rune,Kaczmarek Daniel,Kopeć-Sobczyński Igor,Holder Jack,Vaculik Martin,Sundstroem Linus,Kasprzak Krzysztof,Woźniak Szymon,Zmarzlik Bartosz,Szczotka Alan,Karczmarz Rafał,Czerniawski Hubert,0.0,5.0,7,4,8.0,5,0.0,6.0,13,5.0,15.0,2,14,1,4,0.0,296.pdf,2018
CZĘSTOCHOWA,TARNÓW,Częstochowa,"13.04.2018,",2,54,36,1,Pedersen Nicki,Mroczka Artur,Kildemand Peter,Jamróg Jakub,Bjerre Kenneth,Rolnicki Patryk,Konieczny Kacper,Kulakov Viktor,Madsen Leon,Musielak Tobiasz,Lindgren Fredrik,Miedziński Adrian,Zagar Matej,Woźniak Adrian,Gruchalski Michał,Lyager Andreas,17.0,5.0,6,1,4.0,3,0.0,,11,6.0,13.0,8,11,1,4,,297.pdf,2018
TORUŃ,WROCŁAW,Toruń,"14.04.2018,",2,47,43,2,Woffinden Tai,Dróżdż Damian,Janowski Maciej,Lebedevs Andzejs,Milik Vaclav,Drabik Maksym,Wojdyło Patryk,Fricke Max,Iversen Niels Kristian,Przedpełski Paweł,Doyle Jason,Holder Chris,Holta Rune,Kościelski Marcin,Kaczmarek Daniel,Holder Jack,15.0,0.0,6,0,4.0,7,0.0,11.0,3,10.0,7.0,12,11,1,3,0.0,298.pdf,2018
