Drużyna gospodarzy,Drużyna gości,Tor,Data,Kolejka,Punkty gospodarzy,Punkty gości,Zestaw pól startowych,Zawodnik1,Zawodnik2,Zawodnik3,Zawodnik4,Zawodnik5,Zawodnik6,Zawodnik7,Zawodnik8,Zawodnik9,Zawodnik10,Zawodnik11,Zawodnik12,Zawodnik13,Zawodnik14,Zawodnik15,Zawodnik16,Zawodnik1_punkty,Zawodnik2_punkty,Zawodnik3_punkty,Zawodnik4_punkty,Zawodnik5_punkty,Zawodnik6_punkty,Zawodnik7_punkty,Zawodnik8_punkty,Zawodnik9_punkty,Zawodnik10_punkty,Zawodnik11_punkty,Zawodnik12_punkty,Zawodnik13_punkty,Zawodnik14_punkty,Zawodnik15_punkty,Zawodnik16_punkty,Plik PDF,Sezon
ZIELONA,GRUDZIĄDZ,Zielona Góra,"15.04.2018,",2,53,37,1,Lindbaeck Antonio,Huckenbeck Kai,Buczkowski Krzysztof,Pawlicki Przemysław,Laguta Artem,Wieczorek Kamil,Wawrzyniak Dawid,Pieszczek Krystian,Jepsen Jensen Michael,Gomólski Kacper,Dudek Patryk,Zengota Grzegorz,Protasiewicz Piotr,Niedźwiedź Sebastian,Zgardziński Alex,Tonder Mateusz,8.0,1.0,8,10,9.0,0,1.0,0.0,10,3.0,15.0,6,12,3,4,,299.pdf,2018
LESZNO,GORZÓW,Leszno,"15.04.2018,",2,48,42,1,Walasek Grzegorz,Sundstroem Linus,Kasprzak Krzysztof,Woźniak Szymon,Zmarzlik Bartosz,Karczmarz Rafał,Szczotka Alan,,Hampel Jarosław,Lidsey Jaimon,Kurtz Brady,Kołodziej Janusz,Sayfutdinov Emil,Smektała Bartosz,Kubera Dominik,Szlauderbach Szymon,5.0,5.0,12,4,12.0,3,1.0,,9,0.0,7.0,11,12,3,6,,300.pdf,2018
GRUDZIĄDZ,LESZNO,Grudziądz,"21.04.2018,",3,28,62,1,Hampel Jarosław,Picz Tymoteusz,Kurtz Brady,Kołodziej Janusz,Sayfutdinov Emil,Kubera Dominik,Smektała Bartosz,,Huckenbeck Kai,Lindbaeck Antonio,Buczkowski Krzysztof,Laguta Artem,Pawlicki Przemysław,Wawrzyniak Dawid,Wieczorek Kamil,Pieszczek Krystian,7.0,,12,11,9.0,10,13.0,,0,5.0,1.0,8,10,0,2,2.0,301.pdf,2018
TARNÓW,TORUŃ,Tarnów,"22.04.2018,",3,51,39,1,Przedpełski Paweł,Iversen Niels Kristian,Doyle Jason,Holder Chris,Holta Rune,Kaczmarek Daniel,Kopeć-Sobczyński Igor,Holder Jack,Pedersen Nicki,Mroczka Artur,Kildemand Peter,Jamróg Jakub,Bjerre Kenneth,Konieczny Kacper,Rolnicki Patryk,Kulakov Viktor,3.0,9.0,5,5,4.0,11,2.0,,13,8.0,0.0,10,12,1,1,6.0,302.pdf,2018
ZIELONA,CZĘSTOCHOWA,Zielona Góra,"22.04.2018,",3,44,46,1,Madsen Leon,Musielak Tobiasz,Miedziński Adrian,Lindgren Fredrik,Zagar Matej,Gruchalski Michał,Świdnicki Mateusz,Lyager Andreas,Zengota Grzegorz,Jepsen Jensen Michael,Dudek Patryk,Thorssell Jacob,Protasiewicz Piotr,Niedźwiedź Sebastian,Zgardziński Alex,Tonder Mateusz,6.0,7.0,10,14,5.0,3,1.0,,9,7.0,12.0,4,6,1,5,,303.pdf,2018
WROCŁAW,GORZÓW,Wrocław,"22.04.2018,",3,54,36,2,Woźniak Szymon,Sundstroem Linus,Kasprzak Krzysztof,Walasek Grzegorz,Zmarzlik Bartosz,Szczotka Alan,,Hjelmland Filip,Woffinden Tai,Dróżdż Damian,Janowski Maciej,Lebedevs Andzejs,Milik Vaclav,Drabik Maksym,Wojdyło Patryk,Fricke Max,10.0,0.0,7,3,15.0,1,,,9,,10.0,8,5,11,3,8.0,304.pdf,2018
LESZNO,ZIELONA,Leszno,"27.04.2018,",4,56,34,1,Zengota Grzegorz,Thorssell Jacob,Protasiewicz Piotr,Jepsen Jensen Michael,Dudek Patryk,Zgardziński Alex,Niedźwiedź Sebastian,Tonder Mateusz,Hampel Jarosław,Kołodziej Janusz,Pawlicki Piotr,Kurtz Brady,Sayfutdinov Emil,Smektała Bartosz,Kubera Dominik,Szlauderbach Szymon,9.0,7.0,2,3,9.0,1,3.0,,10,0.0,15.0,8,12,6,5,,305.pdf,2018
GORZÓW,TARNÓW,Gorzów,"29.04.2018,",4,53,37,1,Pedersen Nicki,Mroczka Artur,Kildemand Peter,Jamróg Jakub,Bjerre Kenneth,Rolnicki Patryk,Konieczny Kacper,Kulakov Viktor,Kasprzak Krzysztof,Walasek Grzegorz,Woźniak Szymon,Sundstroem Linus,Zmarzlik Bartosz,Czerniawski Hubert,Szczotka Alan,Hjelmland Filip,13.0,3.0,6,1,11.0,3,0.0,,11,7.0,14.0,3,12,2,4,,306.pdf,2018
CZĘSTOCHOWA,WROCŁAW,Częstochowa,"29.04.2018,",4,49,41,1,Woffinden Tai,Lebedevs Andzejs,Janowski Maciej,Milik Vaclav,Dróżdż Damian,Drabik Maksym,Wojdyło Patryk,Fricke Max,Madsen Leon,Musielak Tobiasz,Lindgren Fredrik,Miedziński Adrian,Zagar Matej,Świącik Bartosz,Gruchalski Michał,Lyager Andreas,7.0,0.0,13,3,,13,0.0,5.0,11,6.0,15.0,7,6,1,3,,307.pdf,2018
TORUŃ,GRUDZIĄDZ,Toruń,"29.04.2018,",4,51,39,1,Pawlicki Przemysław,Lindbaeck Antonio,Buczkowski Krzysztof,Pieszczek Krystian,Laguta Artem,Wieczorek Kamil,Wawrzyniak Dawid,Lakhbaum Roman,Iversen Niels Kristian,Przedpełski Paweł,Doyle Jason,Holder Chris,Holta Rune,Kopeć-Sobczyński Igor,Kaczmarek Daniel,Holder Jack,14.0,3.0,7,1,13.0,0,1.0,,3,1.0,10.0,10,10,3,4,10.0,308.pdf,2018
ZIELONA,TORUŃ,Zielona Góra,"06.05.2018,",5,50,40,2,Doyle Jason,Iversen Niels Kristian,Holder Chris,Przedpełski Paweł,Holta Rune,Kaczmarek Daniel,Kopeć-Sobczyński Igor,Holder Jack,Zengota Grzegorz,Thorssell Jacob,Jepsen Jensen Michael,Protasiewicz Piotr,Dudek Patryk,Niedźwiedź Sebastian,Zgardziński Alex,Tonder Mateusz,5.0,7.0,4,10,7.0,5,1.0,1.0,10,6.0,11.0,5,14,1,3,,309.pdf,2018
LESZNO,CZĘSTOCHOWA,Leszno,"06.05.2018,",5,53,37,2,Madsen Leon,Musielak Tobiasz,Miedziński Adrian,Lindgren Fredrik,Zagar Matej,Gruchalski Michał,Świącik Bartosz,Lyager Andreas,Hampel Jarosław,Kołodziej Janusz,Pawlicki Piotr,Kurtz Brady,Sayfutdinov Emil,Smektała Bartosz,Kubera Dominik,Szlauderbach Szymon,7.0,6.0,4,14,2.0,4,0.0,0.0,11,8.0,15.0,1,8,5,5,,310.pdf,2018
TARNÓW,WROCŁAW,Tarnów,"06.05.2018,",5,41,49,1,Woffinden Tai,Lebedevs Andzejs,Janowski Maciej,Milik Vaclav,Dróżdż Damian,Drabik Maksym,Wojdyło Patryk,Fricke Max,Pedersen Nicki,Mroczka Artur,Jamróg Jakub,Kildemand Peter,Bjerre Kenneth,Knapik Dawid,Rolnicki Patryk,Kulakov Viktor,10.0,0.0,9,9,,12,2.0,7.0,15,1.0,6.0,5,12,0,2,0.0,311.pdf,2018
GRUDZIĄDZ,GORZÓW,Grudziądz,"04.05.2018,",5,49,41,2,Woźniak Szymon,Sundstroem Linus,Kasprzak Krzysztof,Walasek Grzegorz,Zmarzlik Bartosz,Szczotka Alan,Czerniawski Hubert,Hjelmland Filip,Pawlicki Przemysław,Huckenbeck Kai,Lindbaeck Antonio,Buczkowski Krzysztof,Laguta Artem,Wawrzyniak Dawid,Wieczorek Kamil,Pieszczek Krystian,7.0,5.0,11,1,12.0,3,2.0,,7,5.0,12.0,9,12,3,1,,312.pdf,2018
TORUŃ,LESZNO,Toruń,"18.05.2018,",6,37,53,2,Hampel Jarosław,Kołodziej Janusz,Pawlicki Piotr,Kurtz Brady,Sayfutdinov Emil,Kubera Dominik,Smektała Bartosz,,Doyle Jason,Przedpełski Paweł,Holder Chris,Iversen Niels Kristian,Holta Rune,Kościelski Marcin,Kaczmarek Daniel,Holder Jack,9.0,11.0,11,4,12.0,3,3.0,,15,4.0,1.0,1,9,0,5,2.0,313.pdf,2018
TARNÓW,GRUDZIĄDZ,Tarnów,"20.05.2018,",6,49,41,2,Pawlicki Przemysław,Huckenbeck Kai,Buczkowski Krzysztof,Lindbaeck Antonio,Laguta Artem,Wieczorek Kamil,Wawrzyniak Dawid,Pieszczek Krystian,Pedersen Nicki,Mroczka Artur,Jamróg Jakub,Kildemand Peter,Bjerre Kenneth,Knapik Dawid,Rolnicki Patryk,Kulakov Viktor,11.0,0.0,8,5,15.0,2,0.0,0.0,13,7.0,10.0,2,9,2,5,1.0,314.pdf,2018
WROCŁAW,ZIELONA,Wrocław,"20.05.2018,",6,48,42,2,Zengota Grzegorz,Thorssell Jacob,Jepsen Jensen Michael,Protasiewicz Piotr,Dudek Patryk,Niedźwiedź Sebastian,Zgardziński Alex,Tonder Mateusz,Woffinden Tai,Dróżdż Damian,Janowski Maciej,Milik Vaclav,Fricke Max,Wojdyło Patryk,Drabik Maksym,Chugunov Gleb,5.0,3.0,10,5,13.0,3,3.0,,11,2.0,14.0,6,6,0,9,,315.pdf,2018
GORZÓW,CZĘSTOCHOWA,Gorzów,"20.05.2018,",6,53,37,1,Madsen Leon,Musielak Tobiasz,Miedziński Adrian,Zagar Matej,Lindgren Fredrik,Gruchalski Michał,Woźniak Adrian,Lyager Andreas,Kasprzak Krzysztof,Walasek Grzegorz,Woźniak Szymon,Sundstroem Linus,Zmarzlik Bartosz,Szczotka Alan,Karczmarz Rafał,Czerniawski Hubert,11.0,5.0,4,9,4.0,4,0.0,,11,7.0,13.0,2,13,1,6,,316.pdf,2018
CZĘSTOCHOWA,TORUŃ,Częstochowa,"27.05.2018,",7,49,41,1,Doyle Jason,Przedpełski Paweł,Holta Rune,Iversen Niels Kristian,Holder Chris,Kaczmarek Daniel,Kopeć-Sobczyński Igor,Holder Jack,Madsen Leon,Musielak Tobiasz,Lindgren Fredrik,Miedziński Adrian,Zagar Matej,Świdnicki Mateusz,Gruchalski Michał,Lyager Andreas,15.0,0.0,12,3,6.0,4,1.0,0.0,13,3.0,10.0,10,9,0,4,,317.pdf,2018
LESZNO,TARNÓW,Leszno,"27.05.2018,",7,55,35,2,Pedersen Nicki,Mroczka Artur,Jamróg Jakub,Kulakov Viktor,Bjerre Kenneth,Rolnicki Patryk,Knapik Dawid,,Hampel Jarosław,Kołodziej Janusz,Pawlicki Piotr,Kurtz Brady,Sayfutdinov Emil,Kubera Dominik,Smektała Bartosz,,11.0,1.0,11,5,5.0,2,0.0,,9,10.0,10.0,5,11,5,5,,318.pdf,2018
ZIELONA,GORZÓW,Zielona Góra,"27.05.2018,",7,43,47,2,Woźniak Szymon,Sundstroem Linus,Kasprzak Krzysztof,Walasek Grzegorz,Zmarzlik Bartosz,Karczmarz Rafał,Czerniawski Hubert,Szczotka Alan,Zengota Grzegorz,Thorssell Jacob,Jepsen Jensen Michael,Protasiewicz Piotr,Dudek Patryk,Niedźwiedź Sebastian,Zgardziński Alex,Tonder Mateusz,9.0,5.0,7,10,12.0,4,0.0,,3,1.0,13.0,5,14,2,5,,319.pdf,2018
GRUDZIĄDZ,WROCŁAW,Grudziądz,"10.06.2018,",8,42,48,1,Woffinden Tai,Dróżdż Damian,Janowski Maciej,Milik Vaclav,Fricke Max,Drabik Maksym,Wojdyło Patryk,Chugunov Gleb,Pawlicki Przemysław,Huckenbeck Kai,Lindbaeck Antonio,Buczkowski Krzysztof,Laguta Artem,Wawrzyniak Dawid,Wieczorek Kamil,Pieszczek Krystian,10.0,,9,10,0.0,10,3.0,6.0,12,1.0,1.0,7,14,2,1,4.0,320.pdf,2018
GORZÓW,ZIELONA,Gorzów,"10.06.2018,",8,49,35,2,Gomólski Kacper,Zengota Grzegorz,Jepsen Jensen Michael,Protasiewicz Piotr,Dudek Patryk,Tonder Mateusz,Zgardziński Alex,,Kasprzak Krzysztof,Walasek Grzegorz,Woźniak Szymon,Sundstroem Linus,Zmarzlik Bartosz,Czerniawski Hubert,Karczmarz Rafał,Szczotka Alan,1.0,10.0,10,1,11.0,0,2.0,,11,3.0,10.0,5,12,3,5,,321.pdf,2018
WROCŁAW,GRUDZIĄDZ,Wrocław,"27.05.2018,",7,61,29,1,Pawlicki Przemysław,Huckenbeck Kai,Lindbaeck Antonio,Buczkowski Krzysztof,Laguta Artem,Wieczorek Kamil,Lotarski Damian,Pieszczek Krystian,Woffinden Tai,Dróżdż Damian,Janowski Maciej,Milik Vaclav,Fricke Max,Wojdyło Patryk,Drabik Maksym,Chugunov Gleb,5.0,5.0,5,1,12.0,1,0.0,0.0,10,,10.0,8,12,3,10,8.0,322.pdf,2018
TARNÓW,LESZNO,Tarnów,"10.06.2018,",8,47,43,2,Hampel Jarosław,Kołodziej Janusz,Pawlicki Piotr,Kurtz Brady,Sayfutdinov Emil,Smektała Bartosz,Kubera Dominik,Szlauderbach Szymon,Pedersen Nicki,Mroczka Artur,Jamróg Jakub,Kildemand Peter,Bjerre Kenneth,Konieczny Kacper,Rolnicki Patryk,Kulakov Viktor,3.0,9.0,8,5,8.0,5,5.0,,14,6.0,11.0,1,14,0,1,,323.pdf,2018
TORUŃ,CZĘSTOCHOWA,Toruń,"10.06.2018,",8,50,40,1,Madsen Leon,Musielak Tobiasz,Miedziński Adrian,Zagar Matej,Lindgren Fredrik,Gruchalski Michał,Woźniak Adrian,Lyager Andreas,Doyle Jason,Iversen Niels Kristian,Holta Rune,Przedpełski Paweł,Holder Chris,Kopeć-Sobczyński Igor,Kaczmarek Daniel,Holder Jack,14.0,2.0,7,4,10.0,2,1.0,,12,8.0,7.0,0,11,2,4,6.0,324.pdf,2018
ZIELONA,WROCŁAW,Zielona Góra,"17.06.2018,",9,51,39,1,Woffinden Tai,Dróżdż Damian,Janowski Maciej,Fricke Max,Milik Vaclav,Drabik Maksym,Wojdyło Patryk,Chugunov Gleb,Zengota Grzegorz,Gomólski Kacper,Jepsen Jensen Michael,Protasiewicz Piotr,Dudek Patryk,Tonder Mateusz,Niedźwiedź Sebastian,,15.0,,4,1,4.0,10,0.0,5.0,9,5.0,11.0,11,11,2,2,,325.pdf,2018
LESZNO,TORUŃ,Leszno,"17.06.2018,",9,54,36,2,Doyle Jason,Kościelski Marcin,Holta Rune,Iversen Niels Kristian,Holder Chris,Kaczmarek Daniel,Kopeć-Sobczyński Igor,Holder Jack,Hampel Jarosław,Kurtz Brady,Sayfutdinov Emil,Kołodziej Janusz,Pawlicki Piotr,Kubera Dominik,Smektała Bartosz,,13.0,,0,7,6.0,1,0.0,9.0,6,5.0,13.0,8,8,9,5,,326.pdf,2018
CZĘSTOCHOWA,GORZÓW,Częstochowa,"17.06.2018,",9,49,41,2,Woźniak Szymon,Vaculik Martin,Kasprzak Krzysztof,Walasek Grzegorz,Zmarzlik Bartosz,Karczmarz Rafał,Czerniawski Hubert,Szczotka Alan,Madsen Leon,Musielak Tobiasz,Miedziński Adrian,Zagar Matej,Lindgren Fredrik,Świącik Bartosz,Gruchalski Michał,Lyager Andreas,7.0,5.0,10,2,15.0,0,2.0,0.0,14,1.0,8.0,9,11,2,4,,327.pdf,2018
GRUDZIĄDZ,TARNÓW,Grudziądz,"17.06.2018,",9,52,38,2,Pedersen Nicki,Mroczka Artur,Jamróg Jakub,Kildemand Peter,Bjerre Kenneth,Rolnicki Patryk,Konieczny Kacper,Kulakov Viktor,Pawlicki Przemysław,Huckenbeck Kai,Buczkowski Krzysztof,Lindbaeck Antonio,Laguta Artem,Wawrzyniak Dawid,Wieczorek Kamil,Pieszczek Krystian,16.0,3.0,5,2,3.0,4,1.0,4.0,11,0.0,10.0,9,13,0,4,5.0,328.pdf,2018
GORZÓW,GRUDZIĄDZ,Gorzów,"01.07.2018,",10,54,36,1,Pawlicki Przemysław,Huckenbeck Kai,Buczkowski Krzysztof,Lindbaeck Antonio,Laguta Artem,Wieczorek Kamil,Wawrzyniak Dawid,Pieszczek Krystian,Kasprzak Krzysztof,Walasek Grzegorz,Vaculik Martin,Sundstroem Linus,Zmarzlik Bartosz,Szczotka Alan,Czerniawski Hubert,,6.0,1.0,8,2,15.0,2,2.0,0.0,11,6.0,13.0,4,15,0,5,,329.pdf,2018
WROCŁAW,TARNÓW,Wrocław,"01.07.2018,",10,57,33,1,Pedersen Nicki,Mroczka Artur,Jamróg Jakub,Kildemand Peter,Bjerre Kenneth,Rolnicki Patryk,Konieczny Kacper,Kulakov Viktor,Woffinden Tai,Dróżdż Damian,Janowski Maciej,Milik Vaclav,Fricke Max,Liszka Przemysław,Drabik Maksym,Wojdyło Patryk,7.0,6.0,5,9,5.0,1,0.0,,14,1.0,12.0,6,12,3,9,,330.pdf,2018
CZĘSTOCHOWA,LESZNO,Częstochowa,"01.07.2018,",10,47,43,1,Hampel Jarosław,Kołodziej Janusz,Pawlicki Piotr,Kurtz Brady,Sayfutdinov Emil,Smektała Bartosz,Kubera Dominik,,Madsen Leon,Musielak Tobiasz,Miedziński Adrian,Zagar Matej,Lindgren Fredrik,Świącik Bartosz,Gruchalski Michał,Lyager Andreas,5.0,2.0,9,5,7.0,10,5.0,,13,1.0,10.0,10,12,0,1,0.0,331.pdf,2018
TORUŃ,ZIELONA,Toruń,"01.07.2018,",10,52,38,2,Zengota Grzegorz,Gomólski Kacper,Jepsen Jensen Michael,Protasiewicz Piotr,Dudek Patryk,Niedźwiedź Sebastian,Tonder Mateusz,,Doyle Jason,Przedpełski Paweł,Holta Rune,Iversen Niels Kristian,Holder Chris,Kopeć-Sobczyński Igor,Kaczmarek Daniel,Holder Jack,7.0,3.0,12,3,5.0,8,0.0,,11,2.0,9.0,11,10,1,6,2.0,332.pdf,2018
GORZÓW,LESZNO,Gorzów,"27.07.2018,",13,45,45,2,Sayfutdinov Emil,Hampel Jarosław,Kurtz Brady,Kołodziej Janusz,Pawlicki Piotr,Smektała Bartosz,Kubera Dominik,,Kasprzak Krzysztof,Walasek Grzegorz,Vaculik Martin,Woźniak Szymon,Zmarzlik Bartosz,Czerniawski Hubert,Karczmarz Rafał,Szczotka Alan,13.0,4.0,4,9,8.0,4,3.0,,11,7.0,10.0,2,12,0,3,,333.pdf,2018
WROCŁAW,CZĘSTOCHOWA,Wrocław,"29.07.2018,",11,48,42,2,Madsen Leon,Musielak Tobiasz,Miedziński Adrian,Zagar Matej,Lindgren Fredrik,Gruchalski Michał,Świącik Bartosz,Lyager Andreas,Woffinden Tai,Dróżdż Damian,Janowski Maciej,Milik Vaclav,Fricke Max,Liszka Przemysław,Drabik Maksym,Wojdyło Patryk,16.0,2.0,7,6,7.0,4,0.0,,14,0.0,10.0,7,5,1,11,,334.pdf,2018
ZIELONA,LESZNO,Zielona Góra,"29.07.2018,",11,38,52,1,Sayfutdinov Emil,Hampel Jarosław,Kurtz Brady,Kołodziej Janusz,Pawlicki Piotr,Smektała Bartosz,Kubera Dominik,,Jepsen Jensen Michael,Thorssell Jacob,Protasiewicz Piotr,Zengota Grzegorz,Dudek Patryk,Tonder Mateusz,Niedźwiedź Sebastian,Hansen Mads,10.0,12.0,2,11,1.0,7,9.0,,4,9.0,7.0,9,6,1,2,,335.pdf,2018
