_id,MSC,ZAWODNIK,KLUB,SREDNIA,%POJ,PKT,BON,BIEGI,SST,SDY,DYSTBILANS,P3,P2,P1,P0,D,W,U,T,PROCZW,STARTPLUS,STARTMINUS,DYSTPLUS,DYSTMINUS,STARTBILANS,TORA,TORB,TORC,TORD,DOM,WYJAZD,mecze,KLASYFIKOWANY?,id,wychowanek,status PL 2025
68dad4084ab80160062ea3a9,53,Szymon Ludwiczak,Częstochowa,0.7111111111111111,0.2,28,4,45,0.23595505617977527,-0.19047619047619047,-4,1,6,13,25,0,0,0,0,0.022222222222222223,21,68,3,7,-47,1.1111111111111112,0.375,0.5714285714285714,0.7857142857142857,0.8571428571428571,0.5833333333333334,13,1,,Włókniarz Częstochowa,JP
68dad4084ab80160062ea3aa,54,Paweł Trześniewski,Rybnik,0.6481481481481481,0.16666666666666666,28,7,54,0.21782178217821782,-0.2727272727272727,-6,0,7,14,33,1,2,1,0,0.0,22,79,3,9,-57,0.875,0.5714285714285714,0.6363636363636364,0.46153846153846156,1,0.2692307692307692,17,1,3589,ROW Rybnik,JP
68dad4084ab80160062ea3ab,56,Adam Bednar,Gorzów,1.0769230769230769,0.3076923076923077,11,3,13,0.3333333333333333,0.0625,1,1,2,4,6,1,0,1,0,0.07692307692307693,8,16,2,1,-8,1,0.6666666666666666,1.6666666666666667,0,1.0833333333333333,1,4,0,,,JO
68dad4084ab80160062ea3ac,57,Nikodem Mikołajczyk,Wrocław,0.9,0.3,16,2,20,0.2894736842105263,-0.09090909090909091,-1,2,3,4,11,0,0,0,0,0.1,11,27,1,2,-16,0,0.8333333333333334,1.3333333333333333,0.7142857142857143,1.25,0.6666666666666666,8,0,,Sparta Wrocław,JP
68dad4084ab80160062ea3ad,55,Zach Cook,Wrocław,2.0,0.625,6,2,4,0.42857142857142855,0.25,1,0,2,2,0,0,0,0,0,0.0,3,4,1,0,-1,3,2,,1.5,,2,1,0,3622,,SO
68dad4084ab80160062ea3ae,58,Kacper Halkiewicz,Częstochowa,0.7692307692307693,0.23076923076923078,9,1,13,0.2727272727272727,-0.5,-3,0,3,3,7,0,1,0,0,0.0,6,16,0,3,-10,2.5,0.25,0.6666666666666666,0.5,0.8888888888888888,0.5,5,0,3661,Włókniarz Częstochowa,JP
68dad4084ab80160062ea3af,59,Jesper Knudsen,Rybnik,0.7647058823529411,0.2647058823529412,12,1,17,0.40625,-0.5384615384615384,-7,1,2,5,9,0,0,0,0,0.058823529411764705,13,19,1,8,-6,0,1.4,1,0.6,0.6666666666666666,0.8181818181818182,7,0,3614,,JO
68dad4084ab80160062ea3b0,61,Mikołaj Duchiński,Toruń,0.6944444444444444,0.2222222222222222,21,4,36,0.30303030303030304,-0.4,-8,2,4,7,23,0,2,0,0,0.05555555555555555,20,46,2,10,-26,1.25,0.5,0.9166666666666666,0.16666666666666666,0.875,0.3333333333333333,12,0,,Apator Toruń,JP
68dad4084ab80160062ea3b1,62,Krzysztof Lewandowski,Toruń,0.65,0.15,11,2,20,0.2631578947368421,-0.4,-4,0,3,5,12,1,0,0,1,0.0,10,28,0,4,-18,1,0.6,0,0.6666666666666666,0.42857142857142855,0.7692307692307693,8,0,3561,Apator Toruń,JP
68dad4084ab80160062ea3b2,63,Bartosz Jaworski,Lublin,0.6190476190476191,0.21428571428571427,10,3,21,0.35714285714285715,-0.4,-6,0,1,8,12,0,0,0,0,0.0,15,27,1,7,-12,1.2,0.5,0.2857142857142857,0.6666666666666666,0.42857142857142855,1,9,0,3865,Motor Lublin,JP
