ZAWODNIK,SREDNIA,DOM,WYJAZD,BIEGI
Damian Baliński,2.191,2.419,1.969,63
Troy Batchelor,2.246,2.429,2.108,65
Robert Chmiel,1.455,1.500,1.400,22
Max Fricke,1.909,2.217,1.571,44
Rune Holta,2.325,2.475,2.186,83
Daniel Kaczmarek,1.217,1.546,0.917,46
Andriy Karpov,1.902,2.069,1.750,61
Marcin Kościelski,0.800,1.333,0.000,5
Norbert Krakowiak,1.625,1.667,1.600,8
Antonio Lindbaeck,2.320,2.571,2.100,75
Mikkel Michelsen,2.017,1.967,2.069,59
Sebastian Niedźwiedź,0.333,0.412,0.231,30
Rafał Szombierski,1.556,1.857,0.500,9
Kamil Wieczorek,1.227,1.769,0.444,22
Kacper Woryna,1.763,2.033,1.483,59
Szymon Woźniak,2.057,2.324,1.758,70
