ZAWODNIK,SREDNIA,DOM,WYJAZD,BIEGI
Karol Baran,1.921,2.098,1.771,89
Oskar Bober,1.606,1.862,1.405,66
Mateusz Burzyński,1.077,1.125,1.000,13
Kai Huckenbeck,1.364,1.800,1.000,11
Mads Korneliussen,1.600,0,1.600,5
Brady Kurtz,1.595,1.647,1.560,42
Andzejs Lebedevs,2.370,2.565,2.204,100
Fredrik Lindgren,2.123,2.087,2.147,57
Oskar Polis,1.509,1.679,1.355,59
Rory Schlein,1.682,1.889,1.539,22
Linus Sundstroem,1.913,1.971,1.870,80
Jacob Thorssell,1.756,1.900,1.619,41
Sebastian Ułamek,2.129,2.290,2.000,70
Grzegorz Walasek,2.027,2.258,1.864,75
Dawid Wawrzyniak,0.907,1.111,0.704,54
