_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD
5ab814ae0b3a2dd84a0c2d1f,60,Tomasz Jędrzejak,Wrocław,1.269,28,5,26,4,3,10,9,1,0,0,0,0.153846154,1.214,1.333,0.571,0.833,2.333,1.429
5ab814ae0b3a2dd84a0c2d20,61,Rory Schlein,Rybnik,1.143,7,1,7,1,1,2,3,1,0,1,0,0.142857143,1.6,0,1,0,1,1.667
5ab814ae0b3a2dd84a0c2d21,63,Andriej Karpow,Zielona Góra,1.032,27,5,31,3,6,6,16,1,2,0,0,0.096774194,1.467,0.625,1.375,1,0.667,1.143
5ab814ae0b3a2dd84a0c2d22,62,Rafał Szombierski,Rybnik,1.038,22,5,26,1,6,7,12,3,1,0,0,0.038461538,1.438,0.4,1.375,0.429,1.2,1.167
5ab814ae0b3a2dd84a0c2d23,64,Kai Huckenbeck,Grudziądz,1.0,12,1,13,1,4,1,7,0,0,1,0,0.076923077,,1,2,0,0.333,0.667
5ab814ae0b3a2dd84a0c2d24,65,Robert Chmiel,Rybnik,0.905,15,4,21,2,2,5,12,0,0,0,0,0.095238095,1.091,0.7,1.5,1.833,0.5,0
5ab814ae0b3a2dd84a0c2d25,66,Alan Szczotka,Gorzów,0.867,11,2,15,1,1,6,7,1,0,0,0,0.066666667,0.833,1,1,0,0.2,1.6
5ab814ae0b3a2dd84a0c2d26,67,Sebastian Niedźwiedź,Zielona Góra,0.722,11,2,18,2,1,3,12,2,0,1,0,0.111111111,0.909,0.429,1.333,0,0.571,1
5ab814ae0b3a2dd84a0c2d27,68,Mads Korneliussen,Rybnik,0.667,3,3,9,0,0,3,6,0,0,0,0,0.0,0.667,0.667,,0.667,0.667,0.667
5ab814ae0b3a2dd84a0c2d28,69,Mateusz Tonder,Zielona Góra,0.571,11,1,21,2,1,3,15,1,0,1,0,0.095238095,0.545,0.6,0.5,0,0.857,0.625
5ab814ae0b3a2dd84a0c2d29,70,Mateusz Rujner,Grudziądz,0.571,3,1,7,0,1,1,5,0,1,0,0,0.0,0.571,,0.5,1,0,
5ab814ae0b3a2dd84a0c2d2a,71,Mike Trzensiok,Grudziądz,0.52,12,1,25,1,1,7,16,0,1,2,1,0.04,0.615,0.417,1,0.5,0.625,0.143
5ab814ae0b3a2dd84a0c2d2b,72,Lars Skupień,Rybnik,0.421,6,2,19,0,1,4,14,0,1,0,0,0.0,0.8,0,1,0,0.571,0.375
5ab814ae0b3a2dd84a0c2d2c,73,Dawid Wawrzyniak,Grudziądz,0.25,2,0,8,0,0,2,6,0,0,0,0,0.0,0.333,0.2,0,0,0.667,0
5ab814ae0b3a2dd84a0c2d2d,74,Mateusz Burzyński,Zielona Góra,0.125,1,0,8,0,0,1,7,0,0,0,0,0.0,0,0.2,1,0,0,0
5ab814ae0b3a2dd84a0c2d2e,75,Wiktor Lis,Leszno,0.0,0,0,3,0,0,0,3,0,1,0,0,0.0,,0,0,0,,0
5ab814ae0b3a2dd84a0c2d2f,76,Oskar Bober,Wrocław,0.0,0,0,3,0,0,0,3,0,0,0,0,0.0,,0,0,,0,0
5ab814ae0b3a2dd84a0c2d30,77,Damian Lotarski,Grudziądz,0.0,0,0,3,0,0,0,3,0,0,0,0,0.0,,0,,0,0,0
5ab814ae0b3a2dd84a0c2d31,78,Norbert Krakowiak,Toruń,0.0,0,0,2,0,0,0,2,1,0,0,1,0.0,,0,,0,0,
5ab814ae0b3a2dd84a0c2d32,79,Roman Lakhbaum,Rybnik,0.0,0,0,2,0,0,0,2,0,0,0,0,0.0,,0,,,0,0
