_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD,SST,SDY,STARTPLUS,STARTMINUS,STARTBILANS,DYSTPLUS,DYSTMINUS,DYSTBILANS,D-W,%POJ
660dbf6232c6deab18ea898f,54,Martin Smolinski,Landshut,2.0,5,1,3,1,1,0,1,1,0,0,0,0.333333333,2,,3,,,1.5,0.6,0.0,3,2,1,0,0,0,,0.666666667
660dbf6232c6deab18ea8990,55,Marko Levyshyn,Krosno,2.0,1,1,1,0,0,1,0,0,0,0,0,0.0,,2,,,2,,0,0.5,0,2,-2,1,0,1,,0.5
660dbf6232c6deab18ea8991,56,Peter Kildemand,Gniezno,1.75,38,4,24,6,5,10,3,0,1,0,0,0.25,1.785714286,1.7,1.8,2,2,1.166666667,0.5,0.0,21,21,0,5,5,0,0.085714286,0.541666667
660dbf6232c6deab18ea8992,57,Keynan Rew,Krosno,1.742,47,7,31,8,7,9,7,0,1,0,1,0.258064516,1.85,1.545454545,1.5,2.5,1.375,1.857142857,0.625,-0.066666667,30,18,12,1,3,-2,0.304545455,0.564516129
660dbf6232c6deab18ea8993,59,Zbigniew Suchecki,Gniezno,1.467,19,3,15,3,2,6,4,0,0,0,0,0.2,1.545454545,1.25,0.75,1.75,1.333333333,2,0.551724138,-0.25,16,13,3,0,4,-4,0.295454545,0.451612903
660dbf6232c6deab18ea8994,58,Mateusz Tonder,Zielona Góra,1.606,48,5,33,8,7,10,8,0,0,0,1,0.242424242,1.8,1.307692308,1.888888889,1.166666667,1.125,2,0.634920635,-0.15,40,23,17,1,7,-6,0.492307692,0.537313433
660dbf6232c6deab18ea8995,60,Benjamin Basso,Bydgoszcz,1.2,5,1,5,1,0,2,2,0,0,0,0,0.2,1.2,,0,0,2,2,0.4,0.0,4,6,-2,0,0,0,,0.4
660dbf6232c6deab18ea8996,61,Nile Tufft,Zielona Góra,1.2,5,1,5,1,0,2,2,0,2,0,0,0.2,2,0,3,1,1,0,0.833333333,-0.2,5,1,4,1,2,-1,2,0.4
660dbf6232c6deab18ea8997,62,Maksym Borowiak,Zielona Góra,1.185,28,4,27,4,2,12,9,0,0,0,0,0.148148148,1.461538462,0.928571429,1.285714286,1.2,1.25,1,0.352941176,-0.111111111,18,33,-15,2,4,-2,0.532967033,0.37037037
660dbf6232c6deab18ea8998,63,Nikodem Bartoch,Łódź,1.097,31,3,31,4,5,9,13,0,1,0,0,0.129032258,1.176470588,1,1.777777778,0.666666667,1,0.714285714,0.442307692,-0.130434783,23,29,-6,2,5,-3,0.176470588,0.370967742
660dbf6232c6deab18ea8999,64,Philip Hellström Bängs,Gniezno,0.8,5,3,10,0,1,3,6,0,1,0,0,0.0,0.666666667,0.857142857,0.25,2,0,1,0.222222222,0.071428571,4,14,-10,1,0,1,-0.19047619,0.25
660dbf6232c6deab18ea899a,65,Antoni Mencel,Zielona Góra,0.769,8,2,13,0,2,4,7,0,0,0,0,0.0,1.428571429,0,1,1,0.666666667,0,0.24,0.052631579,6,19,-13,1,0,1,1.428571429,0.269230769
660dbf6232c6deab18ea899b,66,Michael Hartel,Landshut,0.714,4,1,7,0,1,2,4,0,1,0,1,0.0,0.714285714,,1,0,1,,0.166666667,0.0,1,5,-4,0,0,0,,0.230769231
660dbf6232c6deab18ea899c,67,Fabian Ragus,Zielona Góra,0.711,21,6,38,1,4,10,23,2,1,0,0,0.026315789,0.739130435,0.666666667,0.384615385,1.2,1,0.666666667,0.242857143,-0.117647059,17,53,-36,1,3,-2,0.072463768,0.25
660dbf6232c6deab18ea899d,68,Piotr Gryszpiński,Gdańsk,0.609,10,4,23,0,2,6,15,0,0,0,1,0.0,0.545454545,0.666666667,0.75,0.75,1,0.142857143,0.119047619,0.0,5,37,-32,2,2,0,-0.121212121,0.177777778
660dbf6232c6deab18ea899e,69,Marcel Krzykowski,Gdańsk,0.529,8,1,17,1,1,3,12,0,0,1,1,0.058823529,0.5,0.545454545,0.166666667,1,0.2,1.25,0.321428571,-0.444444444,9,19,-10,0,4,-4,-0.045454545,0.147058824
660dbf6232c6deab18ea899f,70,Miłosz Wysocki,Gdańsk,0.529,7,2,17,1,1,2,13,0,1,2,1,0.058823529,0.333333333,0.75,0,0,1.285714286,0,0.185185185,0.0,5,22,-17,1,1,0,-0.416666667,0.181818182
660dbf6232c6deab18ea89a0,72,Bartosz Głogowski,Bydgoszcz,0.5,1,0,2,0,0,1,1,1,0,0,0,0.0,1,0,,,1,0,0,0.0,0,3,-3,0,0,0,1,0.25
660dbf6232c6deab18ea89a1,71,Valentin Grobauer,Landshut,0.529,7,2,17,0,3,1,13,0,0,0,0,0.0,1,0.2,0,1.4,0.333333333,0,0.153846154,0.045454545,4,22,-18,1,0,1,0.8,0.147058824
660dbf6232c6deab18ea89a2,73,Thomas Joergensen,Gdańsk,0.5,1,0,2,0,0,1,1,0,0,0,1,0.0,0.5,,,1,0,,0,0.0,0,2,-2,0,0,0,,0.0
660dbf6232c6deab18ea89a3,74,Karol Żupiński,Gdańsk,0.474,9,0,19,0,0,9,10,0,1,0,0,0.0,0.545454545,0.375,0.75,0.25,0.8,0.166666667,0.205882353,-0.714285714,7,27,-20,0,5,-5,0.170454545,0.157894737
660dbf6232c6deab18ea89a4,76,Tobias Busch,Landshut,0.3,3,0,10,0,0,3,7,2,0,0,0,0.0,0.333333333,0.285714286,0,0.666666667,0.25,0,0,0.0,0,5,-5,0,0,0,0.047619048,0.05
660dbf6232c6deab18ea89a5,75,Kacper Tkocz,Rybnik,0.357,8,2,28,0,2,4,22,0,3,4,0,0.0,0.529411765,0.090909091,0.428571429,0.5,0.363636364,0.25,0.065217391,0.023255814,3,43,-40,3,2,1,0.438502674,0.107142857
660dbf6232c6deab18ea89a6,77,Mario Niedermeier,Landshut,0.111,1,0,9,0,0,1,8,2,1,1,0,0.0,0.25,0,0,0,0,0.25,0,0.0,0,6,-6,0,0,0,0.25,0.055555556
660dbf6232c6deab18ea89a7,78,Lech Chlebowski,Rybnik,0.0,0,0,10,0,0,0,10,0,0,0,0,0.0,0,0,0,,0,0,0,0.0,0,16,-16,0,0,0,0,0.0
660dbf6232c6deab18ea89a8,79,Kacper Szopa,Krosno,0.0,0,0,4,0,0,0,4,0,1,0,0,0.0,,0,0,0,,0,0,0.0,0,6,-6,0,0,0,,0.0
660dbf6232c6deab18ea89a9,80,Bartosz Nowak,Bydgoszcz,0.0,0,0,1,0,0,0,1,0,0,0,0,0.0,,0,,,0,,0,0.0,0,2,-2,0,0,0,,0.0
660dbf6232c6deab18ea89aa,81,Damian Pawliczak,Zielona Góra,0.0,0,0,1,0,0,0,1,0,1,0,0,0.0,0,,,,,0,,0.0,0,0,0,0,0,0,,0.0
