ZAWODNIK,SREDNIA,DOM,WYJAZD,BIEGI
Kenneth Bjerre,2.346,2.442,2.237,81
Gleb Chugunov,1.889,1.750,2.000,9
Kacper Gomólski,2.190,2.439,1.921,79
Jakub Jamróg,2.182,2.345,2.000,55
Kacper Konieczny,0.238,0.364,0.100,21
Viktor Kulakov,1.645,1.517,1.758,62
Artur Mroczka,2.197,2.405,2.000,76
Patryk Rolnicki,1.689,1.767,1.613,61
Szymon Szlauderbach,0.780,0.900,0.667,41
Patryk Wojdyło,0.792,0.862,0.684,48
Adrian Woźniak,0.538,0.300,0.688,26
