_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD
5ab816a20b3a2dd84a0c36b6,2,Tai Woffinden,Wrocław,2.410526316,223,6,95,56,22,11,6,1,0,0,0,0.589473684,2.5625,2.255319149,2.590909091,2,2.357142857,2.666666667
5ab816a20b3a2dd84a0c36b7,1,Bartosz Zmarzlik,Gorzów,2.477272727,207,11,88,54,17,11,6,0,1,0,1,0.613636364,2.69047619,2.282608696,2.59375,2.535714286,2.2,2.384615385
5ab816a20b3a2dd84a0c36b8,7,Krzysztof Kasprzak,Gorzów,2.157303371,168,24,89,23,42,15,9,0,1,0,0,0.258426966,2.431818182,1.888888889,2.285714286,1.818181818,2.238095238,2.28
5ab816a20b3a2dd84a0c36b9,8,Piotr Protasiewicz,Zielona Góra,2.144329897,191,17,97,36,32,19,10,3,1,0,0,0.371134021,2.125,2.163265306,2.5,2,1.958333333,2.129032258
5ab816a20b3a2dd84a0c36ba,5,Greg Hancock,Toruń,2.195652174,190,12,92,39,29,15,9,2,0,0,0,0.423913043,2.363636364,2.041666667,2.333333333,2.173913043,2.1,2.16
5ab816a20b3a2dd84a0c36bb,9,Chris Holder,Toruń,2.131868132,180,14,91,39,22,19,11,0,0,0,1,0.428571429,2.6,1.673913043,2.333333333,2.16,2.125,1.904761905
5ab816a20b3a2dd84a0c36bc,3,Jason Doyle,Zielona Góra,2.257731959,202,17,97,43,30,13,11,0,4,0,0,0.443298969,2.234042553,2.28,2.461538462,2.133333333,2.52173913,1.833333333
5ab816a20b3a2dd84a0c36bd,6,Janusz Kołodziej,Tarnów,2.173333333,163,0,75,36,22,11,6,1,1,0,1,0.48,2.277777778,2.076923077,2.277777778,2.181818182,2.15,2.066666667
5ab816a20b3a2dd84a0c36be,10,Patryk Dudek,Zielona Góra,2.101010101,197,11,99,41,29,16,13,4,1,0,2,0.414141414,2.306122449,1.9,2.458333333,1.863636364,1.851851852,2.230769231
5ab816a20b3a2dd84a0c36bf,11,Emil Sayfutdinov,Leszno,2.029411765,64,5,34,12,9,10,3,0,0,0,0,0.352941176,2.4375,1.666666667,2.444444444,2,1.75,1.888888889
5ab816a20b3a2dd84a0c36c0,12,Martin Vaculik,Toruń,2.0,174,12,93,34,26,20,13,1,1,0,0,0.365591398,2.088888889,1.916666667,2.217391304,2.142857143,2.041666667,1.64
5ab816a20b3a2dd84a0c36c1,13,Kristian Iversen Niels,Gorzów,1.988372093,158,13,86,27,29,19,11,0,0,0,0,0.313953488,2,1.976190476,2.5,1.72,1.652173913,2.25
5ab816a20b3a2dd84a0c36c2,14,Vaclav Milik,Wrocław,1.987179487,141,14,78,20,31,19,8,0,0,0,0,0.256410256,2.113636364,1.823529412,2.117647059,1.9,1.863636364,2.105263158
5ab816a20b3a2dd84a0c36c3,4,Grigorij Laguta,Rybnik,2.214285714,144,11,70,30,22,10,8,5,0,0,0,0.428571429,2.64516129,1.871794872,2.3,2.055555556,2.333333333,2.176470588
5ab816a20b3a2dd84a0c36c4,15,Nicki Pedersen,Leszno,1.981481481,106,1,54,23,14,9,8,2,1,0,0,0.425925926,2.133333333,1.791666667,2.214285714,1.666666667,2.153846154,1.916666667
5ab816a20b3a2dd84a0c36c5,16,Antonio Lindbaeck,Grudziądz,1.927536232,124,9,69,26,17,12,14,1,1,0,0,0.376811594,2.103448276,1.8,1.941176471,2.266666667,1.647058824,1.9
5ab816a20b3a2dd84a0c36c6,17,Paweł Przedpełski,Toruń,1.871794872,129,17,78,24,21,15,18,0,1,0,0,0.307692308,2.25,1.473684211,2.25,1.826086957,1.6875,1.272727273
5ab816a20b3a2dd84a0c36c7,18,Artem Laguta,Grudziądz,1.870967742,114,2,62,25,13,13,11,3,2,0,0,0.403225806,1.892857143,1.852941176,2.066666667,2.142857143,1.625,1.705882353
5ab816a20b3a2dd84a0c36c8,19,Leon Madsen,Tarnów,1.863636364,114,9,66,20,19,16,11,0,2,1,1,0.303030303,2,1.709677419,1.5,2.157894737,2.066666667,1.6875
5ab816a20b3a2dd84a0c36c9,21,Grzegorz Zengota,Leszno,1.833333333,118,14,72,14,28,20,10,0,1,1,0,0.194444444,1.911764706,1.763157895,1.947368421,1.4375,1.470588235,2.35
5ab816a20b3a2dd84a0c36ca,22,Tomasz Gollob,Grudziądz,1.816326531,79,10,49,13,15,10,11,1,1,0,0,0.265306122,2.205882353,0.933333333,2.363636364,2.090909091,1.153846154,1.785714286
5ab816a20b3a2dd84a0c36cb,23,Kenneth Bjerre,Tarnów,1.802631579,132,5,76,24,19,22,11,0,0,0,0,0.315789474,1.972972973,1.641025641,1.913043478,1.8125,1.529411765,1.9
5ab816a20b3a2dd84a0c36cc,24,Przemysław Pawlicki,Gorzów,1.765432099,124,19,81,19,21,25,16,0,1,0,0,0.234567901,1.975,1.56097561,1.6,1.7,2,1.736842105
5ab816a20b3a2dd84a0c36cd,20,Krzysztof Buczkowski,Grudziądz,1.859375,99,20,64,12,20,23,9,0,0,1,0,0.1875,2.382352941,1.266666667,2.076923077,1.842105263,1.823529412,1.733333333
5ab816a20b3a2dd84a0c36ce,25,Matej Zagar,Gorzów,1.763157895,117,17,76,15,24,24,13,2,0,0,1,0.197368421,1.916666667,1.625,2.136363636,1.8,1.684210526,1.4
5ab816a20b3a2dd84a0c36cf,27,Max Fricke,Rybnik,1.727272727,107,7,66,17,18,20,11,2,0,0,1,0.257575758,1.882352941,1.5625,2.3125,1.5,1.375,1.785714286
5ab816a20b3a2dd84a0c36d0,26,Rune Holta,Rybnik,1.753846154,102,12,65,16,15,24,10,1,1,1,0,0.246153846,2.0625,1.454545455,1.733333333,1.388888889,2.2,1.764705882
5ab816a20b3a2dd84a0c36d1,28,Rafał Okoniewski,Grudziądz,1.71641791,106,9,67,16,22,14,15,0,0,0,0,0.23880597,2.142857143,1.25,2.272727273,1.411764706,1.266666667,1.692307692
5ab816a20b3a2dd84a0c36d2,29,Maciej Janowski,Wrocław,1.674418605,127,17,86,15,26,30,15,2,2,0,0,0.174418605,1.780487805,1.577777778,1.730769231,1.904761905,1.611111111,1.428571429
5ab816a20b3a2dd84a0c36d3,30,Piotr Pawlicki,Leszno,1.637681159,107,6,69,16,20,19,14,1,3,0,0,0.231884058,1.818181818,1.472222222,2,1.529411765,1.526315789,1.529411765
5ab816a20b3a2dd84a0c36d4,31,Tomasz Jędrzejak,Wrocław,1.592592593,118,11,81,19,19,23,20,2,1,0,0,0.234567901,1.682926829,1.5,1.666666667,1.304347826,1.85,1.6
5ab816a20b3a2dd84a0c36d5,32,Adrian Miedziński,Toruń,1.5875,111,16,80,13,20,32,15,1,5,0,0,0.1625,1.631578947,1.547619048,2.08,1.6875,1.05,1.421052632
