_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD,SST,SDY,STARTPLUS,STARTMINUS,STARTBILANS,DYSTPLUS,DYSTMINUS,DYSTBILANS
660dbf87352dc45da2193a03,74,Piotr Świercz,Tarnów,0.68,14,3,25,1,3,5,16,0,0,0,0,0.04,0.769230769,0.583333333,0.375,0,1.375,0.5,0.285714286,-0.357142857,14,35,-21,0,5,-5
660dbf87352dc45da2193a04,75,Przemysław Giera,Rybnik,0.647,8,3,17,0,3,2,12,2,2,1,0,0.0,1.333333333,0.272727273,1,0.5,0.75,0.5,0.310344828,-0.111111111,9,20,-11,0,1,-1
660dbf87352dc45da2193a05,76,Philip Hellström Bängs,Gniezno,0.5,5,0,10,0,1,3,6,0,1,0,0,0.0,0.5,0.5,0.5,1,0.25,0.5,0.222222222,0.0,4,14,-10,1,1,0
660dbf87352dc45da2193a06,77,Aleksander Grygolec,Łódź,0.5,3,0,6,1,0,0,5,0,0,1,0,0.166666667,1,0,0,1.5,0,0,0.25,-0.333333333,3,9,-6,0,1,-1
660dbf87352dc45da2193a07,78,Peter Ljung,Gniezno,0.5,3,0,6,0,0,3,3,0,0,0,0,0.0,0,0.75,1,0,0,1,0.166666667,-1.0,2,10,-8,0,2,-2
660dbf87352dc45da2193a08,79,Jakub Janik,Krosno,0.476,10,0,21,1,0,7,13,0,1,0,0,0.047619048,0.615384615,0.25,0.25,0,0.875,0.4,0.111111111,-0.25,4,32,-28,0,1,-1
660dbf87352dc45da2193a09,80,Drew Kemp,Gdańsk,0.4,2,0,5,0,0,2,3,1,0,0,0,0.0,0,0.666666667,0.5,0,0.5,,0.0,0.0,0,10,-10,0,0,0
660dbf87352dc45da2193a0a,82,Kacper Tkocz,Rybnik,0.0,0,0,11,0,0,0,11,1,2,1,0,0.0,0,0,0,0,0,0,0.0,0.0,0,18,-18,0,0,0
660dbf87352dc45da2193a0b,81,Seweryn Orgacki,Krosno,0.2,1,0,5,0,0,1,4,0,1,1,0,0.0,0,0.25,1,0,0,,0.125,-1.0,1,7,-6,0,1,-1
660dbf87352dc45da2193a0c,83,Kamil Marciniec,Krosno,0.0,0,0,6,0,0,0,6,0,0,0,1,0.0,0,0,0,0,0,0,0.0,0.0,0,10,-10,0,0,0
660dbf87352dc45da2193a0d,85,Szymon Szwacher,Gniezno,0.0,0,0,6,0,0,0,6,0,1,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,10,-10,1,1,0
660dbf87352dc45da2193a0e,84,Błażej Wypior,Rybnik,0.0,0,0,6,0,0,0,6,1,0,0,0,0.0,0,0,0,0,0,0,0.083333333,-1.0,1,11,-10,0,1,-1
660dbf87352dc45da2193a0f,86,Hubert Gąsior,Bydgoszcz,0.0,0,0,5,0,0,0,5,3,1,0,1,0.0,0,0,0,0,0,0,0.0,0.0,0,6,-6,0,0,0
660dbf87352dc45da2193a10,87,Aleksiej Pilac,Bydgoszcz,0.0,0,0,3,0,0,0,3,0,0,0,0,0.0,0,,0,,0,0,0.0,0.0,0,6,-6,0,0,0
660dbf87352dc45da2193a11,88,Ben Ernst,Łódź,0.0,0,0,3,0,0,0,3,0,0,0,0,0.0,,0,0,,0,0,0.0,0.0,0,6,-6,0,0,0
660dbf87352dc45da2193a12,89,Brayden McGuinness,Bydgoszcz,0.0,0,0,3,0,0,0,3,0,0,0,1,0.0,,0,,0,0,0,0.25,-1.0,1,3,-2,0,1,-1
660dbf87352dc45da2193a13,90,Amadeusz Szulist,Gdańsk,0.0,0,0,2,0,0,0,2,0,0,0,0,0.0,,0,,0,0,,0.0,0.0,0,4,-4,0,0,0
660dbf87352dc45da2193a14,91,Leon Flint,Rybnik,0.0,0,0,2,0,0,0,2,0,0,0,0,0.0,0,,0,,,0,0.0,0.0,0,4,-4,0,0,0
660dbf87352dc45da2193a15,92,Mateusz Gzyl,Tarnów,0.0,0,0,1,0,0,0,1,0,0,1,0,0.0,0,,,,,0,0.0,0.0,0,2,-2,1,1,0
