_id,MSC,ZAWODNIK,KLUB,SREDNIA,%POJ,PKT,BON,BIEGI,SST,SDY,DYSTBILANS,P3,P2,P1,P0,D,W,U,T,PROCZW,STARTPLUS,STARTMINUS,DYSTPLUS,DYSTMINUS,STARTBILANS,TORA,TORB,TORC,TORD,DOM,WYJAZD,mecze,id,SGP 1997 status,numer SGP 1997,wychowanek,czy mistrz świata?,status PL 2025
68d2f39d7408ce1d1f93a2f1,42,Marko Levyshyn,Tarnów,1.4269662921348314,0.4101123595505618,111,16,89,0.4476744186046512,-0.11688311688311688,-9,14,19,31,25,1,1,0,0,0.15730337078651685,77,95,11,20,-18,1.1818181818181819,1.4,1.64,1.4545454545454546,1.6136363636363635,1.2444444444444445,18,3548,,,,,SO
68d2f39d7408ce1d1f93a2f2,43,Grzegorz Walasek,Ostrów,1.4242424242424243,0.4015151515151515,86,8,66,0.4,0.02666666666666667,2,13,15,17,21,5,1,1,0,0.19696969696969696,50,75,10,8,-25,1.6,1.1764705882352942,1.1666666666666667,1.8125,1.4666666666666666,1.3888888888888888,14,3058,,,,,SP
68d2f39d7408ce1d1f93a2f3,44,Sebastian Szostak,Ostrów,1.4142857142857144,0.45,89,10,70,0.48,-0.1,-6,16,11,19,24,1,1,0,1,0.22857142857142856,60,65,3,9,-5,1.6,1.125,1.5,1.4,1.5,1.3333333333333333,16,355,,,Arged Malesa Ostrów,,SP
68d2f39d7408ce1d1f93a2f4,45,Tobiasz Jakub Musielak,Poznań,1.3703703703703705,0.4351851851851852,65,9,54,0.5684210526315789,-0.1111111111111111,-6,12,9,11,22,2,4,1,0,0.2222222222222222,54,41,3,9,13,1.7333333333333334,1.5625,1.1666666666666667,0.8181818181818182,1.6666666666666667,1.0740740740740742,16,3868,,,Unia Leszno,,JP
68d2f39d7408ce1d1f93a2f5,46,Szymon Szlauderbach,Poznań,1.3409090909090908,0.3977272727272727,51,8,44,0.4235294117647059,-0.08333333333333333,-3,6,9,15,14,0,1,0,0,0.13636363636363635,36,49,3,6,-13,1.6,1.5555555555555556,1.1818181818181819,1.1428571428571428,1.4,1.2916666666666667,12,3261,,,,,SP
68d2f39d7408ce1d1f93a2f6,47,Radosław Kowalski,Tarnów,1.264367816091954,0.3390804597701149,103,7,87,0.3855421686746988,-0.140625,-9,14,20,21,32,0,2,1,0,0.16091954022988506,64,102,4,13,-38,1.3846153846153846,0.9565217391304348,1.25,1.5,1.3571428571428572,1.1777777777777778,18,,,,Akademia Żużlowa Janusza Kołodzieja,,JP
68d2f39d7408ce1d1f93a2f7,48,Kacper Teska,Poznań,1.1914893617021276,0.3404255319148936,49,7,47,0.4367816091954023,-0.18421052631578946,-7,7,7,14,19,0,1,0,1,0.14893617021276595,38,49,3,10,-11,1.0769230769230769,1.125,1.4166666666666667,1.1428571428571428,1.36,1,16,3617,,,Unia Leszno,,JP
68d2f39d7408ce1d1f93a2f8,49,Kacper Andrzejewski,Bydgoszcz,1.1428571428571428,0.35135135135135137,54,10,56,0.41818181818181815,-0.13043478260869565,-6,6,10,16,24,0,0,1,1,0.10714285714285714,46,64,7,13,-18,1.125,1.375,0.4,1.4285714285714286,1.3103448275862069,0.9629629629629629,18,3669,,,Sparta Wrocław,,JP
68d2f39d7408ce1d1f93a2f9,50,William Drejer,Krosno,1.125,0.32098765432098764,37,8,40,0.34177215189873417,-0.1111111111111111,-3,3,8,12,17,1,0,0,0,0.075,27,52,4,7,-25,1.5,1.375,1,0.75,1.0909090909090908,1.1666666666666667,13,3652,,,,,JO
68d2f39d7408ce1d1f93a2fa,51,Olivier Buszkiewicz,Łódź,1.0,0.27586206896551724,47,12,59,0.2972972972972973,-0.030303030303030304,-1,4,9,17,29,4,2,2,0,0.06779661016949153,33,78,5,6,-45,0.7333333333333333,1.2857142857142858,1.0769230769230769,0.9411764705882353,1.0714285714285714,0.9354838709677419,18,3591,,,Unia Leszno,,JP
