_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD
5ab816aa0b3a2dd84a0c371e,2,Tai Woffinden,Wrocław,2.414893617,220,7,94,51,28,11,4,0,1,0,2,0.542553191,2.622222222,2.224489796,2.45,2.409090909,2.260869565,2.517241379
5ab816aa0b3a2dd84a0c371f,1,Jarosław Hampel,Zielona Góra,2.419354839,73,2,31,20,5,3,3,0,1,0,0,0.64516129,2.619047619,2,2.555555556,2.111111111,2.333333333,2.714285714
5ab816aa0b3a2dd84a0c3720,4,Bartosz Zmarzlik,Gorzów,2.333333333,161,7,72,39,18,8,7,0,0,0,0,0.541666667,2.628571429,2.054054054,2.5,2.44,1.833333333,2.307692308
5ab816aa0b3a2dd84a0c3721,5,Piotr Protasiewicz,Zielona Góra,2.292307692,142,7,65,30,22,8,5,1,3,0,0,0.461538462,2.388888889,2.172413793,2.5,2.055555556,2.375,2.266666667
5ab816aa0b3a2dd84a0c3722,6,Martin Vaculik,Tarnów,2.242105263,204,9,95,40,35,14,6,0,0,0,0,0.421052632,2.511111111,2,2.230769231,2.259259259,2.25,2.222222222
5ab816aa0b3a2dd84a0c3723,7,Janusz Kołodziej,Tarnów,2.238636364,183,14,88,33,35,14,6,0,0,0,0,0.375,2.418604651,2.066666667,2,2.526315789,2.347826087,2.12
5ab816aa0b3a2dd84a0c3724,8,Darcy Ward,Zielona Góra,2.2,90,9,45,18,15,6,6,0,2,0,0,0.4,1.944444444,2.37037037,2.272727273,1.888888889,2.142857143,2.454545455
5ab816aa0b3a2dd84a0c3725,9,Piotr Pawlicki,Leszno,2.192307692,159,12,78,36,18,15,9,1,1,1,2,0.461538462,2.025641026,2.358974359,2.214285714,2.476190476,2.136363636,1.952380952
5ab816aa0b3a2dd84a0c3726,10,Nicki Pedersen,Leszno,2.170731707,172,6,82,38,23,12,9,3,3,0,0,0.463414634,2.236842105,2.113636364,2.210526316,2.318181818,2.291666667,1.764705882
5ab816aa0b3a2dd84a0c3727,11,Maciej Janowski,Wrocław,2.141304348,181,16,92,36,27,19,10,2,2,0,0,0.391304348,2.260869565,2.02173913,2.47826087,2.074074074,2.260869565,1.684210526
5ab816aa0b3a2dd84a0c3728,12,Emil Sayfutdinov,Leszno,2.141025641,154,13,78,33,21,13,11,3,1,0,0,0.423076923,2.382352941,1.954545455,2.4,1.785714286,2.045454545,2.227272727
5ab816aa0b3a2dd84a0c3729,13,Paweł Przedpełski,Toruń,2.05,153,11,80,30,25,13,12,0,3,0,0,0.375,2.325581395,1.72972973,2.130434783,2.12,1.941176471,1.933333333
5ab816aa0b3a2dd84a0c372a,14,Leon Madsen,Tarnów,2.025974026,133,23,77,23,20,24,10,2,1,0,1,0.298701299,2.307692308,1.736842105,2.086956522,1.823529412,2.263157895,1.888888889
5ab816aa0b3a2dd84a0c372b,3,Greg Hancock,Rzeszów,2.373333333,173,5,75,45,16,6,8,2,0,0,1,0.6,2.617647059,2.170731707,2.565217391,2.222222222,2.235294118,2.411764706
5ab816aa0b3a2dd84a0c372c,15,Kenni Larsen,Rzeszów,2.0,64,10,37,12,9,10,6,0,1,0,0,0.324324324,2.375,1.307692308,2.3,2,1.7,2
5ab816aa0b3a2dd84a0c372d,16,Peter Kildemand,Rzeszów,2.0,116,8,62,25,12,17,8,1,6,0,0,0.403225806,2.060606061,1.931034483,2.4,1.75,1.933333333,1.9375
5ab816aa0b3a2dd84a0c372e,17,Artem Laguta,Grudziądz,1.97260274,137,7,73,29,15,20,9,4,0,0,1,0.397260274,2.147058824,1.820512821,1.75,2.166666667,1.9375,2.052631579
5ab816aa0b3a2dd84a0c372f,18,Kristian Iversen Niels,Gorzów,1.902777778,118,19,72,18,22,20,12,0,2,0,2,0.25,2.25,1.555555556,2,1.388888889,1.933333333,2.25
5ab816aa0b3a2dd84a0c3730,19,Kenneth Bjerre,Tarnów,1.875,152,13,88,28,26,16,18,0,0,0,0,0.318181818,1.88372093,1.866666667,2.043478261,1.608695652,1.95,1.909090909
5ab816aa0b3a2dd84a0c3731,20,Matej Zagar,Gorzów,1.869565217,124,5,69,23,18,19,9,3,0,0,1,0.333333333,2.15625,1.621621622,2.222222222,1.944444444,1.5,1.8
5ab816aa0b3a2dd84a0c3732,21,Grigorij Laguta,Toruń,1.86746988,142,13,83,22,30,16,15,2,4,0,2,0.265060241,1.952380952,1.780487805,1.35,2.176470588,2.047619048,1.92
5ab816aa0b3a2dd84a0c3733,22,Grzegorz Zengota,Leszno,1.841463415,138,13,82,24,24,18,16,1,2,0,0,0.292682927,2.045454545,1.605263158,1.714285714,1.9,2.055555556,1.739130435
5ab816aa0b3a2dd84a0c3734,23,Chris Holder,Toruń,1.833333333,153,12,90,22,32,23,13,1,1,1,0,0.244444444,2.068181818,1.608695652,2.217391304,1.818181818,1.681818182,1.608695652
5ab816aa0b3a2dd84a0c3735,24,Jason Doyle,Toruń,1.802325581,140,15,86,21,24,29,12,1,1,0,0,0.244186047,1.825,1.782608696,1.695652174,1.923076923,1.75,1.823529412
5ab816aa0b3a2dd84a0c3736,25,Krzysztof Buczkowski,Grudziądz,1.792207792,125,13,77,16,23,31,7,1,0,0,0,0.207792208,2.135135135,1.475,1.5,1.826086957,1.857142857,2.055555556
5ab816aa0b3a2dd84a0c3737,26,Maksym Drabik,Wrocław,1.7875,131,12,80,22,21,23,14,0,1,0,1,0.275,1.815789474,1.761904762,2.142857143,1.958333333,1.25,1.3125
5ab816aa0b3a2dd84a0c3738,27,Przemysław Pawlicki,Leszno,1.686746988,119,21,83,16,25,21,21,2,2,0,0,0.192771084,1.80952381,1.56097561,2.153846154,1.611111111,1.5,1.315789474
5ab816aa0b3a2dd84a0c3739,28,Grzegorz Walasek,Zielona Góra,1.653846154,78,8,52,15,11,11,15,2,2,1,0,0.288461538,1.846153846,1.461538462,1.666666667,1.333333333,1.909090909,1.714285714
5ab816aa0b3a2dd84a0c373a,29,Tomasz Gollob,Grudziądz,1.611111111,107,9,72,14,24,17,17,3,0,0,0,0.194444444,2.243243243,0.942857143,1.6875,1.470588235,1.631578947,1.65
5ab816aa0b3a2dd84a0c373b,30,Michael Jepsen Jensen,Wrocław,1.55952381,122,9,84,22,21,14,27,1,1,0,1,0.261904762,1.743589744,1.4,1.769230769,1.538461538,1.708333333,1.285714286
5ab816aa0b3a2dd84a0c373c,31,Adrian Miedziński,Toruń,1.532258065,83,12,62,10,18,17,17,2,1,0,0,0.161290323,1.64516129,1.419354839,1.529411765,1.461538462,1.75,1.375
5ab816aa0b3a2dd84a0c373d,32,Krzysztof Kasprzak,Gorzów,1.476923077,86,10,65,10,17,22,16,3,0,0,0,0.153846154,1.466666667,1.485714286,1.684210526,1.266666667,1.125,1.8
