_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD
5bb3dbdf4af873faeeeb051e,5,Tai Woffinden,Wrocław,2.232,195,17,95,38,32,17,8,0,1,0,0,0.4,2.283,2.184,2.409,2.107,2.182,2.261
5bb3dbdf4af873faeeeb051f,6,Emil Sayfutdinov,Leszno,2.216,182,13,88,38,22,24,4,0,1,0,0,0.431818182,2.25,2.182,2.273,2.368,2.333,1.913
5bb3dbdf4af873faeeeb0520,7,Krzysztof Kasprzak,Gorzów,2.215,192,14,93,37,34,13,9,2,1,0,0,0.397849462,2.386,2.061,2.12,2.393,2.278,2.045
5bb3dbdf4af873faeeeb0521,8,Maciej Janowski,Wrocław,2.191,188,18,94,36,29,22,7,1,1,0,1,0.382978723,2.489,1.918,2.421,2.174,1.917,2.286
5bb3dbdf4af873faeeeb0522,9,Patryk Dudek,Zielona Góra,2.173,154,9,75,34,19,14,8,0,0,0,0,0.453333333,2.5,1.872,2.476,2.222,2.176,1.789
5bb3dbdf4af873faeeeb0523,2,Leon Madsen,Częstochowa,2.443,227,10,97,54,25,15,3,0,0,0,0,0.556701031,2.6,2.308,2.656,2.174,2.476,2.381
5bb3dbdf4af873faeeeb0524,10,Fredrik Lindgren,Częstochowa,2.146,183,8,89,35,32,14,8,0,2,1,0,0.393258427,2.333,1.955,2.25,2.526,2.087,1.783
5bb3dbdf4af873faeeeb0525,3,Nicki Pedersen,Tarnów,2.432,170,10,74,37,26,7,4,3,0,0,0,0.5,2.568,2.297,2.636,2.526,2.176,2.312
5bb3dbdf4af873faeeeb0526,4,Artem Laguta,Grudziądz,2.39,180,4,77,44,20,8,5,0,0,0,0,0.571428571,2.368,2.41,2.429,2.684,2.467,2.045
5bb3dbdf4af873faeeeb0527,11,Martin Vaculik,Gorzów,2.093,106,7,54,22,14,12,6,0,1,0,0,0.407407407,2.2,1.958,2.286,1.455,1.938,2.615
5bb3dbdf4af873faeeeb0528,1,Bartosz Zmarzlik,Gorzów,2.574,237,5,94,62,21,9,2,0,1,0,0,0.659574468,2.721,2.451,2.6,2.409,2.5,2.76
5bb3dbdf4af873faeeeb0529,13,Piotr Pawlicki,Leszno,2.043,133,10,70,30,12,19,9,0,0,0,0,0.428571429,2.189,1.879,2.167,1.944,1.889,2.188
5bb3dbdf4af873faeeeb052a,12,Jason Doyle,Toruń,2.048,119,10,63,22,21,11,9,1,2,1,0,0.349206349,2.25,1.778,2.562,1.824,2.294,1.385
5bb3dbdf4af873faeeeb052b,14,Maksym Drabik,Wrocław,2.034,166,15,89,30,29,18,12,1,0,0,0,0.337078652,2.238,1.851,2.267,1.852,1.688,2.25
5bb3dbdf4af873faeeeb052c,15,Janusz Kołodziej,Leszno,2.013,144,15,79,27,23,17,12,0,2,1,2,0.341772152,2,2.024,2.095,2.133,2.105,1.792
5bb3dbdf4af873faeeeb052d,16,Michael Jepsen Jensen,Zielona Góra,1.918,128,12,73,20,23,22,8,0,0,0,0,0.273972603,2.114,1.737,2.188,1.947,1.706,1.857
5bb3dbdf4af873faeeeb052e,17,Kenneth Bjerre,Tarnów,1.914,127,7,70,22,20,21,7,1,1,0,0,0.314285714,2.25,1.559,1.889,2.167,1.833,1.75
5bb3dbdf4af873faeeeb052f,18,Bartosz Smektała,Leszno,1.889,121,15,72,21,21,16,14,0,0,1,0,0.291666667,1.944,1.833,2.133,2.087,2,1.368
5bb3dbdf4af873faeeeb0530,20,Przemysław Pawlicki,Grudziądz,1.831,132,9,77,16,35,14,12,0,2,0,0,0.207792208,2,1.675,1.889,1.87,1.6,2
5bb3dbdf4af873faeeeb0531,21,Kristian Iversen Niels,Toruń,1.81,106,8,63,20,15,16,12,0,0,0,0,0.317460317,1.964,1.686,2.357,1.889,1.467,1.562
5bb3dbdf4af873faeeeb0532,19,Jarosław Hampel,Leszno,1.847,147,10,85,28,22,19,16,1,0,0,0,0.329411765,2.071,1.628,1.87,2,1.667,1.85
5bb3dbdf4af873faeeeb0533,22,Antonio Lindbaeck,Grudziądz,1.758,99,10,62,16,16,19,11,0,0,0,0,0.258064516,1.968,1.548,1.75,1.722,1.944,1.571
5bb3dbdf4af873faeeeb0534,23,Jakub Jamróg,Tarnów,1.742,100,15,66,11,24,19,12,0,0,1,0,0.166666667,1.971,1.5,1.941,1.846,1.611,1.611
5bb3dbdf4af873faeeeb0535,24,Chris Holder,Toruń,1.733,92,12,60,15,12,23,10,0,0,0,0,0.25,2.062,1.357,1.692,1.533,1.786,1.889
5bb3dbdf4af873faeeeb0536,25,Matej Zagar,Częstochowa,1.731,121,14,78,17,24,22,15,1,1,0,0,0.217948718,2,1.432,1.625,1.609,1.762,1.944
5bb3dbdf4af873faeeeb0537,26,Jack Holder,Toruń,1.708,76,6,48,13,11,15,9,0,2,0,0,0.270833333,1.75,1.667,1.938,1.9,1.364,1.545
5bb3dbdf4af873faeeeb0538,27,Rune Holta,Toruń,1.673,77,5,49,11,17,10,11,5,2,0,0,0.224489796,1.923,1.391,2.091,1.455,1.214,2
5bb3dbdf4af873faeeeb0539,29,Szymon Woźniak,Gorzów,1.638,117,14,80,17,21,24,18,0,0,0,0,0.2125,1.895,1.405,1.85,1.4,1.591,1.722
5bb3dbdf4af873faeeeb053a,28,Adrian Miedziński,Częstochowa,1.663,126,22,89,14,33,18,24,1,6,1,0,0.157303371,1.822,1.5,1.591,1.773,1.5,1.76
