ZAWODNIK,SREDNIA,DOM,WYJAZD,BIEGI
Troy Batchelor,2.2,2.184,2.214,80
Oliver Berntzon,1.980,1.783,2.148,50
Daniel Bewley,1.406,1.389,1.429,32
Nicolai Klindt,1.939,2.22,1.659,82
Viktor Kulakov,2.411,2.486,2.333,73
Andzejs Lebedevs,2.306,2.483,2.152,62
Sergei Logachev,2.044,2.174,1.909,45
Tobiasz Musielak,2.104,2.000,2.227,48
Kamil Nowacki,0.848,0.920,0.762,46
Krystian Pieszczek,2.031,2.214,1.889,64
Mateusz Szczepaniak,2.013,2.162,1.872,76
Mateusz Tudzież,0.607,0.667,0.579,28
Rohan Tungate,1.922,2.241,1.500,51
Kacper Woryna,2.385,2.556,2.238,78
Denis Zieliński,0.485,0.667,0.267,33
