_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD,KLASYFIKOWANY?,mecze,SST,SDY,STARTPLUS,STARTMINUS,STARTBILANS,DYSTPLUS,DYSTMINUS,DYSTBILANS,D-W,%POJ
660dbf0cfd867465fcea7d9e,19,Kim Nilsson,Landshut,1.9,120,13,70,20,23,14,13,1,1,0,0,0.285714285714286,2.325,1.33333333333333,2.15,1.61111111111111,1.53333333333333,2.23529411764706,1,14,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,0.991666666666667,0.574468085106383
660dbf0cfd867465fcea7d9f,20,Kenneth Bjerre,Bydgoszcz,1.86516853932584,151,15,89,23,24,34,8,2,0,0,0,0.258426966292135,1.83333333333333,1.8936170212766,2,1.95,1.65217391304348,1.8695652173913,1,18,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,-0.0602836879432624,0.550561797752809
660dbf0cfd867465fcea7da0,22,Oliver Berntzon,Ostrów,1.82142857142857,138,15,84,21,26,23,14,0,3,0,0,0.25,2,1.65116279069767,1.72222222222222,2.25,1.52631578947368,1.69565217391304,1,18,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,0.348837209302326,0.535714285714286
660dbf0cfd867465fcea7da1,21,Andreas Lyager,Bydgoszcz,1.85135135135135,128,9,74,20,24,20,10,0,4,0,0,0.27027027027027,2.02631578947368,1.66666666666667,2.05,2.10526315789474,1.625,1.57894736842105,1,15,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,0.359649122807017,0.537414965986395
660dbf0cfd867465fcea7da2,25,Matej Zagar,Rybnik,1.73958333333333,154,13,96,31,16,29,20,3,1,0,0,0.322916666666667,1.80851063829787,1.6734693877551,2.47826086956522,1.62962962962963,1.41666666666667,1.45454545454545,1,19,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,0.13504125054277,0.546875
660dbf0cfd867465fcea7da3,24,Norbert Krakowiak,Poznań,1.81666666666667,102,7,60,20,16,10,14,4,2,1,1,0.333333333333333,2.16,1.57142857142857,1.76470588235294,1.625,1.78571428571429,2.15384615384615,1,12,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,0.588571428571429,0.579831932773109
660dbf0cfd867465fcea7da4,7,Kai Huckenbeck,Landshut,2.14473684210526,151,12,76,31,21,16,8,1,1,1,0,0.407894736842105,2.18918918918919,2.1025641025641,2.21052631578947,2.05263157894737,2,2.3,1,16,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,0.0866250866250864,0.651315789473684
660dbf0cfd867465fcea7da5,23,Jan Kvech,Rybnik,1.82051282051282,127,15,78,17,25,26,10,2,2,1,0,0.217948717948718,1.85714285714286,1.77777777777778,1.94117647058824,1.66666666666667,1.95,1.73913043478261,1,16,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,0.0793650793650795,0.551282051282051
660dbf0cfd867465fcea7da6,18,Grzegorz Walasek,Ostrów,1.90588235294118,146,16,85,26,27,14,18,1,2,1,0,0.305882352941176,1.97435897435897,1.84782608695652,2.43478260869565,1.625,1.71428571428571,1.82352941176471,1,18,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,0.126532887402453,0.570588235294118
660dbf0cfd867465fcea7da7,26,Matias Nielsen,Ostrów,1.72093023255814,133,15,86,16,29,27,14,0,1,0,0,0.186046511627907,1.775,1.67391304347826,1.95454545454545,1.61111111111111,1.61904761904762,1.68,1,18,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,0.101086956521739,0.505813953488372
